subject,phase,roi,task,comparison,within_mean,between_mean,delta_between_minus_within
1,pilot,nsdgeneral,vision,odd/even repetitions,0.09925854615867138,0.10102223277068266,0.0017636866120112754
1,pilot,nsdgeneral,imagery,run 1/run 2,0.0342426513800294,0.029181445827783103,-0.0050612055522463
1,pilot,early_visual,vision,odd/even repetitions,0.21006629839539528,0.27656800424274813,0.06650170584735285
1,pilot,early_visual,imagery,run 1/run 2,0.0246602444547332,0.0240133503036338,-0.0006468941510993989
1,pilot,higher_visual,vision,odd/even repetitions,0.011076455674548116,-0.006395568469155545,-0.017472024143703663
1,pilot,higher_visual,imagery,run 1/run 2,0.02218060947747694,0.019558882513794944,-0.0026217269636819966
2,heldout,nsdgeneral,vision,odd/even repetitions,0.16777183206544982,0.225786875755552,0.058015043690102186
2,heldout,nsdgeneral,imagery,run 1/run 2,0.0249054581961698,0.023832924858046074,-0.0010725333381237274
2,heldout,early_visual,vision,odd/even repetitions,0.3165961875994172,0.39853781776899405,0.08194163016957684
2,heldout,early_visual,imagery,run 1/run 2,0.008170228141049543,0.008725239095198319,0.0005550109541487755
2,heldout,higher_visual,vision,odd/even repetitions,0.050706553645431994,0.05773935932881647,0.007032805683384477
2,heldout,higher_visual,imagery,run 1/run 2,0.03261054570320994,0.029462238063354528,-0.003148307639855411
3,heldout,nsdgeneral,vision,odd/even repetitions,0.08365707540263732,0.10565843111490486,0.022001355712267537
3,heldout,nsdgeneral,imagery,run 1/run 2,0.027345358355281252,0.025509995914439462,-0.0018353624408417903
3,heldout,early_visual,vision,odd/even repetitions,0.20364543204195798,0.2803377663432103,0.0766923343012523
3,heldout,early_visual,imagery,run 1/run 2,0.020064815640863445,0.022077999869738792,0.002013184228875347
3,heldout,higher_visual,vision,odd/even repetitions,-0.0026987804927759702,-0.017032707287365122,-0.014333926794589152
3,heldout,higher_visual,imagery,run 1/run 2,0.015750519933256633,0.01411649034546119,-0.001634029587795443
4,heldout,nsdgeneral,vision,odd/even repetitions,0.05004622903652489,0.09893364347010868,0.048887414433583784
4,heldout,nsdgeneral,imagery,run 1/run 2,0.0027111955129334496,0.0029884659918564095,0.0002772704789229599
4,heldout,early_visual,vision,odd/even repetitions,0.2139796698414203,0.287858070574994,0.07387840073357371
4,heldout,early_visual,imagery,run 1/run 2,-0.000789603572856221,0.00013127429701853544,0.0009208778698747564
4,heldout,higher_visual,vision,odd/even repetitions,-0.027118862246991032,-0.01734525571400472,0.009773606532986312
4,heldout,higher_visual,imagery,run 1/run 2,0.012785016958433617,0.011522419908066728,-0.0012625970503668885
5,heldout,nsdgeneral,vision,odd/even repetitions,0.09278770156411661,0.1300469313185507,0.037259229754434076
5,heldout,nsdgeneral,imagery,run 1/run 2,0.01474556419481006,0.02005612883550822,0.0053105646406981614
5,heldout,early_visual,vision,odd/even repetitions,0.2404820811883029,0.3419119805632228,0.10142989937491992
5,heldout,early_visual,imagery,run 1/run 2,0.02620766085585476,0.02972980925932023,0.003522148403465472
5,heldout,higher_visual,vision,odd/even repetitions,0.007173365526573939,-0.008526495768482736,-0.015699861295056676
5,heldout,higher_visual,imagery,run 1/run 2,0.005720513197593391,0.008546312746788047,0.0028257995491946554
6,heldout,nsdgeneral,vision,odd/even repetitions,0.11227891176111168,0.14513650244852114,0.032857590687409455
6,heldout,nsdgeneral,imagery,run 1/run 2,0.004922859531102909,0.007271606259800373,0.002348746728697464
6,heldout,early_visual,vision,odd/even repetitions,0.29312351712336143,0.3568824632136427,0.06375894609028127
6,heldout,early_visual,imagery,run 1/run 2,0.0018152103448907534,0.0037151400823926518,0.0018999297375018984
6,heldout,higher_visual,vision,odd/even repetitions,0.020797531958022673,0.006987825138451255,-0.013809706819571417
6,heldout,higher_visual,imagery,run 1/run 2,0.006354950546907882,0.006807558403326968,0.0004526078564190865
7,heldout,nsdgeneral,vision,odd/even repetitions,0.055108089439777866,0.08145837913939936,0.0263502896996215
7,heldout,nsdgeneral,imagery,run 1/run 2,0.012070231584625111,0.01096384555591646,-0.001106386028708651
7,heldout,early_visual,vision,odd/even repetitions,0.14463972530017297,0.23317346297402833,0.08853373767385536
7,heldout,early_visual,imagery,run 1/run 2,0.01126795257959101,0.008893849904847297,-0.0023741026747437135
7,heldout,higher_visual,vision,odd/even repetitions,0.0029844033842285475,-0.009634786185213469,-0.012619189569442017
7,heldout,higher_visual,imagery,run 1/run 2,0.013957692352374176,0.01278370629222115,-0.001173986060153025
8,heldout,nsdgeneral,vision,odd/even repetitions,0.02030681741113464,0.01702919917240959,-0.003277618238725053
8,heldout,nsdgeneral,imagery,run 1/run 2,-0.0032334350411676697,-0.0022685932758408685,0.0009648417653268012
8,heldout,early_visual,vision,odd/even repetitions,0.028641597688612012,0.04747076548206947,0.01882916779345746
8,heldout,early_visual,imagery,run 1/run 2,-0.00937320056449001,-0.006923197418843672,0.002450003145646338
8,heldout,higher_visual,vision,odd/even repetitions,-0.012995260181681564,-0.024831500413711183,-0.011836240232029619
8,heldout,higher_visual,imagery,run 1/run 2,0.006075707874454868,0.004963999860558909,-0.0011117080138959594
