pipeline,task,roi,n_subjects,mean,median,minimum,maximum
attention_reference,imagery,early_visual,7,-0.01497181791097362,-0.009655009507399254,-0.04899937286737871,-0.0035906844822022332
attention_reference,imagery,higher_visual,7,-0.05337006565746195,-0.05228843561405361,-0.0949677471242647,-0.03398488900738689
attention_reference,imagery,nsdgeneral,7,-0.025434149838780774,-0.02136333911427915,-0.06607070606149712,-0.012163607854810021
attention_reference,vision,early_visual,7,0.015112974216780308,0.014332055356310658,-0.017249519838642757,0.07349440271343832
attention_reference,vision,higher_visual,7,-0.046010982874207317,-0.05623724125111673,-0.07869400198696841,-0.01303658297692567
attention_reference,vision,nsdgeneral,7,0.003680092830877002,0.0038043660939318658,-0.03203833189222427,0.04580223126308269
raw_glmsingle,imagery,early_visual,7,-0.01298830484917825,-0.012970993212215731,-0.056631985541941265,0.014838784335867383
raw_glmsingle,imagery,higher_visual,7,-0.07665696561027928,-0.06895584308699798,-0.10125528519276872,-0.06619245770064075
raw_glmsingle,imagery,nsdgeneral,7,-0.01773872102384271,-0.022114751491761675,-0.06449511054468193,0.02804416187105846
raw_glmsingle,vision,early_visual,7,0.03531113838347486,0.04202355564834026,0.012791518985058259,0.05101669091141947
raw_glmsingle,vision,higher_visual,7,-0.03832277778492765,-0.04890225039302598,-0.08003679748184322,0.010297417383455243
raw_glmsingle,vision,nsdgeneral,7,0.04258317117790988,0.0383994679014481,-0.010203277171099145,0.10242349300744691
task_pooled,imagery,early_visual,7,-0.024787948034862377,-0.02082116514104082,-0.09175090351215864,0.060789451611783285
task_pooled,imagery,higher_visual,7,-0.09960410701757404,-0.0993109687732141,-0.12718493193706215,-0.06201004850714287
task_pooled,imagery,nsdgeneral,7,-0.05120562763041853,-0.05803436829759212,-0.11185259055284646,0.04406203396354402
task_pooled,vision,early_visual,7,0.05756741545301747,0.02728089204443429,0.012296115035622224,0.13143428786690636
task_pooled,vision,higher_visual,7,-0.044590081055821296,-0.05998083022039702,-0.09315356318567836,0.0241212992239912
task_pooled,vision,nsdgeneral,7,0.05105663465948139,0.07221400899316954,-0.03894261405388999,0.11772881273926472
