subject,phase,roi,task,comparison,scope,rho
1,pilot,nsdgeneral,vision,odd/even repetitions,all,0.47938361947649866
1,pilot,nsdgeneral,vision,odd/even repetitions,within_set,0.5919631093544137
1,pilot,nsdgeneral,vision,odd/even repetitions,between_set,0.39687711375956247
1,pilot,nsdgeneral,vision,odd/even repetitions,block_residual,0.2941535808816891
1,pilot,nsdgeneral,imagery,run 1/run 2,all,0.1476820393229062
1,pilot,nsdgeneral,imagery,run 1/run 2,within_set,0.008036890645586298
1,pilot,nsdgeneral,imagery,run 1/run 2,between_set,0.14271151885830785
1,pilot,nsdgeneral,imagery,run 1/run 2,block_residual,0.08408455894219023
1,pilot,early_visual,vision,odd/even repetitions,all,0.43343653250773984
1,pilot,early_visual,vision,odd/even repetitions,within_set,0.5880105401844532
1,pilot,early_visual,vision,odd/even repetitions,between_set,0.3670772719045033
1,pilot,early_visual,vision,odd/even repetitions,block_residual,0.35177957686091466
1,pilot,early_visual,imagery,run 1/run 2,all,0.14030061785479742
1,pilot,early_visual,imagery,run 1/run 2,within_set,-0.01686429512516469
1,pilot,early_visual,imagery,run 1/run 2,between_set,0.20172054074137583
1,pilot,early_visual,imagery,run 1/run 2,block_residual,0.15918418449353647
1,pilot,higher_visual,vision,odd/even repetitions,all,0.27160481417447363
1,pilot,higher_visual,vision,odd/even repetitions,within_set,0.42450592885375493
1,pilot,higher_visual,vision,odd/even repetitions,between_set,0.1363190336010365
1,pilot,higher_visual,vision,odd/even repetitions,block_residual,0.23141923566002112
1,pilot,higher_visual,imagery,run 1/run 2,all,0.1403977859086218
1,pilot,higher_visual,imagery,run 1/run 2,within_set,-0.186429512516469
1,pilot,higher_visual,imagery,run 1/run 2,between_set,0.1863728600417274
1,pilot,higher_visual,imagery,run 1/run 2,block_residual,0.0821655840051048
2,heldout,nsdgeneral,vision,odd/even repetitions,all,0.4723975714687788
2,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.6139657444005269
2,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.42427620109177167
2,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,0.33491394367985267
2,heldout,nsdgeneral,imagery,run 1/run 2,all,0.25765617251685363
2,heldout,nsdgeneral,imagery,run 1/run 2,within_set,0.3065876152832674
2,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.18747796926653137
2,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.2600544645846737
2,heldout,early_visual,vision,odd/even repetitions,all,0.45241110798386336
2,heldout,early_visual,vision,odd/even repetitions,within_set,0.5474308300395256
2,heldout,early_visual,vision,odd/even repetitions,between_set,0.42573380205207345
2,heldout,early_visual,vision,odd/even repetitions,block_residual,0.4223376600158549
2,heldout,early_visual,imagery,run 1/run 2,all,-0.0505374398563253
2,heldout,early_visual,imagery,run 1/run 2,within_set,-0.12911725955204215
2,heldout,early_visual,imagery,run 1/run 2,between_set,-0.01640515590614193
2,heldout,early_visual,imagery,run 1/run 2,block_residual,-0.08952931651441302
2,heldout,higher_visual,vision,odd/even repetitions,all,0.3696339779931111
2,heldout,higher_visual,vision,odd/even repetitions,within_set,0.47259552042160735
2,heldout,higher_visual,vision,odd/even repetitions,between_set,0.3072775253174807
2,heldout,higher_visual,vision,odd/even repetitions,block_residual,0.1978146628454535
2,heldout,higher_visual,imagery,run 1/run 2,all,0.32824373768646214
2,heldout,higher_visual,imagery,run 1/run 2,within_set,0.2134387351778656
2,heldout,higher_visual,imagery,run 1/run 2,between_set,0.310345156096678
2,heldout,higher_visual,imagery,run 1/run 2,block_residual,0.30845934561937355
3,heldout,nsdgeneral,vision,odd/even repetitions,all,0.25600431560183884
3,heldout,nsdgeneral,vision,odd/even repetitions,within_set,0.4739130434782608
3,heldout,nsdgeneral,vision,odd/even repetitions,between_set,0.11302599864719387
3,heldout,nsdgeneral,vision,odd/even repetitions,block_residual,0.07416931842264614
3,heldout,nsdgeneral,imagery,run 1/run 2,all,0.3539128570088322
3,heldout,nsdgeneral,imagery,run 1/run 2,within_set,0.2700922266139657
3,heldout,nsdgeneral,imagery,run 1/run 2,between_set,0.39085617384511323
3,heldout,nsdgeneral,imagery,run 1/run 2,block_residual,0.37673192628638624
3,heldout,early_visual,vision,odd/even repetitions,all,0.2273095841207296
3,heldout,early_visual,vision,odd/even repetitions,within_set,0.3885375494071146
3,heldout,early_visual,vision,odd/even repetitions,between_set,0.1506378195051778
