global_target,stimulus_set,target_number,target_code,target_name,n_trials
1,A,1,H,bar_000.0deg_450L_43W.png,8
2,A,2,R,bar_045.0deg_450L_43W.png,8
3,A,3,V,bar_090.0deg_450L_43W.png,8
4,A,4,L,bar_135.0deg_450L_43W.png,8
5,A,5,P,crs_000.0deg_450L_43W.png,8
6,A,6,E,crs_045.0deg_450L_43W.png,8
7,B,1,W,shared0385_nsd28752.png,8
8,B,2,K,shared0413_nsd30857.png,8
9,B,3,B,shared0741_nsd53882.png,8
10,B,4,C,shared0842_nsd61178.png,8
11,B,5,D,shared0907_nsd65873.png,8
12,B,6,T,shared0000_nsd00000.png,8
13,C,1,S,stripes,8
14,C,2,Z,zebra,8
15,C,3,M,mammal,8
16,C,4,Y,yellow,8
17,C,5,N,banana,8
18,C,6,F,fruit,8
