subject,run_name,task,stimulus_set,TRIAL,beta_index,beta_number,target_number,target_code,target_name,repeat,image_path,SOURCE_FILE,RUN_NAME,SUBJECT,SESSION,RUN,CONDITION,CUE,FRAMEFILE,IMAGEFILE,GROUNDTRUTH,ISCORRECT,CHANGEMIND,TOTAL1,TOTAL2,BUTTON,TRIALONSET,TRIALEND,IMAGEONSET,IMAGESERIESENDS,FINALDECISIONTIME,RT
subj01,visA,vision,A,1,0,1,4,L,bar_135.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_135.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,L,L,bar_135.0deg_450L_43W_cueL.png,,1.0,1.0,0.0,1,0,1.0,11.9977394189991,15.9986126990007,,,12.973612627,975.873208000849
subj01,visA,vision,A,2,1,2,3,V,bar_090.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_090.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,V,V,bar_090.0deg_450L_43W_cueV.png,,1.0,1.0,0.0,1,0,1.0,15.9986126990007,19.9983569409997,,,16.7080173210015,709.404622000875
subj01,visA,vision,A,3,2,3,1,H,bar_000.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_000.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,H,H,bar_000.0deg_450L_43W_cueH.png,,1.0,1.0,0.0,1,0,1.0,19.9983569409997,23.9978940069996,,,20.7002976080003,701.940667000599
subj01,visA,vision,A,4,3,4,3,V,bar_090.0deg_450L_43W.png,2,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_090.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,V,P,bar_090.0deg_450L_43W_cueP.png,,0.0,1.0,0.0,0,1,2.0,23.9978940069996,27.9974614070015,,,24.908093263999,910.199256999476
subj01,visA,vision,A,5,4,5,4,L,bar_135.0deg_450L_43W.png,2,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_135.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,L,R,bar_135.0deg_450L_43W_cueR.png,,0.0,1.0,1.0,1,3,2.0,27.9974614070015,31.9982887189981,,,29.2852384549988,1287.77704799722
subj01,visA,vision,A,6,5,6,2,R,bar_045.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_045.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,R,P,bar_045.0deg_450L_43W_cueP.png,,0.0,1.0,0.0,0,1,2.0,31.9982887189981,35.9967549139983,,,33.520803419,1522.51470000192
subj01,visA,vision,A,7,6,7,6,E,crs_045.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/crs_045.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,E,E,crs_045.0deg_450L_43W_cueE.png,,1.0,1.0,0.0,1,0,1.0,35.9967549139983,39.9972766819992,,,36.7320131999986,735.258286000317
subj01,visA,vision,A,8,7,8,4,L,bar_135.0deg_450L_43W.png,3,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/bar_135.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,L,R,bar_135.0deg_450L_43W_cueR.png,,0.0,1.0,0.0,0,1,2.0,39.9972766819992,43.9964145339982,,,41.0904336929998,1093.15701100059
subj01,visA,vision,A,9,8,9,5,P,crs_000.0deg_450L_43W.png,1,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/crs_000.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,P,L,crs_000.0deg_450L_43W_cueL.png,,0.0,1.0,0.0,0,1,2.0,47.9974374209996,51.9964151409986,,,49.0230563929981,1025.61897199848
subj01,visA,vision,A,10,9,10,6,E,crs_045.0deg_450L_43W.png,2,/home/jovyan/NHprojectNSDimagery/data/nsd/nsddata/experiments/nsdimagery/rawtargetimages/setA/crs_045.0deg_450L_43W.png,nsdimagery_subj01_visA.tsv,visA,1,1,1,E,V,crs_045.0deg_450L_43W_cueV.png,,0.0,1.0,0.0,0,1,2.0,51.9964151409986,55.9956253769997,,,52.8413789240003,844.963783001731
