stimulus_set,target_number,target_code,target_name,n_trials
A,1,H,bar_000.0deg_450L_43W.png,8
A,2,R,bar_045.0deg_450L_43W.png,8
A,3,V,bar_090.0deg_450L_43W.png,8
A,4,L,bar_135.0deg_450L_43W.png,8
A,5,P,crs_000.0deg_450L_43W.png,8
A,6,E,crs_045.0deg_450L_43W.png,8
B,1,W,shared0385_nsd28752.png,8
B,2,K,shared0413_nsd30857.png,8
B,3,B,shared0741_nsd53882.png,8
B,4,C,shared0842_nsd61178.png,8
B,5,D,shared0907_nsd65873.png,8
B,6,T,shared0000_nsd00000.png,8
C,1,S,stripes,8
C,2,Z,zebra,8
C,3,M,mammal,8
C,4,Y,yellow,8
C,5,N,banana,8
C,6,F,fruit,8
