subject,phase,roi,stimulus_set,task,feature_model,rsa_rho,p_greater,p_two_sided
1,pilot,nsdgeneral,A,vision,HOG,0.4304976020005051,0.03333333333333333,0.06388888888888888
1,pilot,nsdgeneral,A,vision,CLIP,0.1357142857142857,0.20555555555555555,0.42083333333333334
1,pilot,nsdgeneral,A,imagery,HOG,-0.40179776186713806,0.9180555555555555,0.10555555555555556
1,pilot,nsdgeneral,A,imagery,CLIP,0.2714285714285714,0.05694444444444444,0.14444444444444443
1,pilot,nsdgeneral,B,vision,HOG,0.05357142857142857,0.33194444444444443,0.7361111111111112
1,pilot,nsdgeneral,B,vision,CLIP,-0.1392857142857143,0.7458333333333333,0.5291666666666667
1,pilot,nsdgeneral,B,imagery,HOG,-0.09642857142857143,0.7652777777777777,0.49166666666666664
1,pilot,nsdgeneral,B,imagery,CLIP,-0.2857142857142857,0.9625,0.09027777777777778
1,pilot,early_visual,A,vision,HOG,0.45740370212553666,0.008333333333333333,0.04722222222222222
1,pilot,early_visual,A,vision,CLIP,0.04642857142857143,0.44027777777777777,0.8208333333333333
1,pilot,early_visual,A,imagery,HOG,-0.25829856120030303,0.8527777777777777,0.3055555555555556
1,pilot,early_visual,A,imagery,CLIP,0.24642857142857144,0.07916666666666666,0.14583333333333334
1,pilot,early_visual,B,vision,HOG,-0.05,0.6277777777777778,0.7402777777777778
1,pilot,early_visual,B,vision,CLIP,-0.3535714285714286,0.9680555555555556,0.06527777777777778
1,pilot,early_visual,B,imagery,HOG,-0.2,0.8708333333333333,0.25833333333333336
1,pilot,early_visual,B,imagery,CLIP,-0.3892857142857143,0.9777777777777777,0.043055555555555555
1,pilot,higher_visual,A,vision,HOG,-0.15426164071684767,0.7513888888888889,0.5277777777777778
1,pilot,higher_visual,A,vision,CLIP,0.1,0.31666666666666665,0.6402777777777777
1,pilot,higher_visual,A,imagery,HOG,-0.5309470424672896,0.9430555555555555,0.058333333333333334
1,pilot,higher_visual,A,imagery,CLIP,0.14642857142857144,0.27361111111111114,0.5305555555555556
