subject,phase,roi,comparison,scope,rho
1,pilot,nsdgeneral,vision odd/even,all,0.2861331135324943
1,pilot,nsdgeneral,vision odd/even,within_set,0.3027667984189723
1,pilot,nsdgeneral,vision odd/even,between_set,0.19946268827345734
1,pilot,nsdgeneral,vision odd/even,block_residual,0.18143806764678327
1,pilot,nsdgeneral,imagery run 1/run 2,all,0.34759358288770054
1,pilot,nsdgeneral,imagery run 1/run 2,within_set,-0.041765480895915676
1,pilot,nsdgeneral,imagery run 1/run 2,between_set,0.06186706298169901
1,pilot,nsdgeneral,imagery run 1/run 2,block_residual,0.022038237547882044
1,pilot,early_visual,vision odd/even,all,0.397956790371651
1,pilot,early_visual,vision odd/even,within_set,0.3922266139657444
1,pilot,early_visual,vision odd/even,between_set,0.2712376270637438
1,pilot,early_visual,vision odd/even,block_residual,0.3109520886710139
1,pilot,early_visual,imagery run 1/run 2,all,0.3915705037996059
1,pilot,early_visual,imagery run 1/run 2,within_set,-0.07470355731225295
1,pilot,early_visual,imagery run 1/run 2,between_set,0.14723675059780694
1,pilot,early_visual,imagery run 1/run 2,block_residual,0.07515551072693699
1,pilot,higher_visual,vision odd/even,all,0.20419698980070491
1,pilot,higher_visual,vision odd/even,within_set,0.17114624505928852
1,pilot,higher_visual,vision odd/even,between_set,0.11819905303571598
1,pilot,higher_visual,vision odd/even,block_residual,0.12399679657963224
1,pilot,higher_visual,imagery run 1/run 2,all,0.2535617117660461
1,pilot,higher_visual,imagery run 1/run 2,within_set,-0.2175230566534914
1,pilot,higher_visual,imagery run 1/run 2,between_set,0.0044109100955538405
1,pilot,higher_visual,imagery run 1/run 2,block_residual,-0.043003388986754904
2,heldout,nsdgeneral,vision odd/even,all,0.3660320587565169
2,heldout,nsdgeneral,vision odd/even,within_set,0.3595520421607378
2,heldout,nsdgeneral,vision odd/even,between_set,0.21897358217344498
2,heldout,nsdgeneral,vision odd/even,block_residual,0.25783945911378536
2,heldout,nsdgeneral,imagery run 1/run 2,all,0.5842547545333923
2,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.3179183135704875
2,heldout,nsdgeneral,imagery run 1/run 2,between_set,0.24284775215067592
2,heldout,nsdgeneral,imagery run 1/run 2,block_residual,0.2484536250108531
2,heldout,early_visual,vision odd/even,all,0.38553603259485614
2,heldout,early_visual,vision odd/even,within_set,0.4988142292490118
2,heldout,early_visual,vision odd/even,between_set,0.18202863757180826
2,heldout,early_visual,vision odd/even,block_residual,0.290138544130652
2,heldout,early_visual,imagery run 1/run 2,all,0.31035811453768103
2,heldout,early_visual,imagery run 1/run 2,within_set,0.06851119894598155
2,heldout,early_visual,imagery run 1/run 2,between_set,-0.08042527651547629
2,heldout,early_visual,imagery run 1/run 2,block_residual,-0.05350513861162643
2,heldout,higher_visual,vision odd/even,all,0.30319783415758644
2,heldout,higher_visual,vision odd/even,within_set,0.1844532279314888
2,heldout,higher_visual,vision odd/even,between_set,0.14129202511265446
2,heldout,higher_visual,vision odd/even,block_residual,0.15792998875307127
2,heldout,higher_visual,imagery run 1/run 2,all,0.5750405425328026
2,heldout,higher_visual,imagery run 1/run 2,within_set,0.4415019762845849
2,heldout,higher_visual,imagery run 1/run 2,between_set,0.23407356597787873
2,heldout,higher_visual,imagery run 1/run 2,block_residual,0.2484967548367152
3,heldout,nsdgeneral,vision odd/even,all,0.24355005159958718
3,heldout,nsdgeneral,vision odd/even,within_set,0.006851119894598154
3,heldout,nsdgeneral,vision odd/even,between_set,0.1356521573446893
3,heldout,nsdgeneral,vision odd/even,block_residual,0.10039770126677268
3,heldout,nsdgeneral,imagery run 1/run 2,all,0.40498639647246454
3,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.1665349143610013
3,heldout,nsdgeneral,imagery run 1/run 2,between_set,-0.17799879962273857
3,heldout,nsdgeneral,imagery run 1/run 2,block_residual,-0.11938675102141069
3,heldout,early_visual,vision odd/even,all,0.14724310776942354
3,heldout,early_visual,vision odd/even,within_set,0.10395256916996047
3,heldout,early_visual,vision odd/even,between_set,0.0406794516371812
3,heldout,early_visual,vision odd/even,block_residual,0.03388976787853583
3,heldout,early_visual,imagery run 1/run 2,all,0.2463310683124924
3,heldout,early_visual,imagery run 1/run 2,within_set,-0.1901185770750988
3,heldout,early_visual,imagery run 1/run 2,between_set,-0.16067907056503472
3,heldout,early_visual,imagery run 1/run 2,block_residual,-0.17618932310257343
3,heldout,higher_visual,vision odd/even,all,0.14389918646884592
3,heldout,higher_visual,vision odd/even,within_set,0.15652173913043474
3,heldout,higher_visual,vision odd/even,between_set,-0.032819838615945965
3,heldout,higher_visual,vision odd/even,block_residual,0.018013514987428276
3,heldout,higher_visual,imagery run 1/run 2,all,0.4559091579215418
3,heldout,higher_visual,imagery run 1/run 2,within_set,0.16508563899868248
3,heldout,higher_visual,imagery run 1/run 2,between_set,-0.06739260910571894
3,heldout,higher_visual,imagery run 1/run 2,block_residual,-0.05167063346237445
4,heldout,nsdgeneral,vision odd/even,all,0.2034933590661145
4,heldout,nsdgeneral,vision odd/even,within_set,0.13372859025032938
4,heldout,nsdgeneral,vision odd/even,between_set,0.039583869216039326
4,heldout,nsdgeneral,vision odd/even,block_residual,0.04637290201105906
4,heldout,nsdgeneral,imagery run 1/run 2,all,0.47088309007813645
4,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.32476943346508563
4,heldout,nsdgeneral,imagery run 1/run 2,between_set,-0.019987234083092782
4,heldout,nsdgeneral,imagery run 1/run 2,block_residual,0.018056434657465047
4,heldout,early_visual,vision odd/even,all,0.29017396432257114
4,heldout,early_visual,vision odd/even,within_set,0.25177865612648215
4,heldout,early_visual,vision odd/even,between_set,0.14187316013604276
4,heldout,early_visual,vision odd/even,block_residual,0.18427832012452236
4,heldout,early_visual,imagery run 1/run 2,all,0.4906685162103118
4,heldout,early_visual,imagery run 1/run 2,within_set,0.21383399209486167
4,heldout,early_visual,imagery run 1/run 2,between_set,0.11718921184753303
4,heldout,early_visual,imagery run 1/run 2,block_residual,0.1096533961643659
4,heldout,higher_visual,vision odd/even,all,0.11072467264417728
4,heldout,higher_visual,vision odd/even,within_set,-0.07127799736495387
4,heldout,higher_visual,vision odd/even,between_set,-0.0681547533986872
4,heldout,higher_visual,vision odd/even,block_residual,-0.04031781070362312
4,heldout,higher_visual,imagery run 1/run 2,all,0.401176738638039
4,heldout,higher_visual,imagery run 1/run 2,within_set,0.22266139657444003
4,heldout,higher_visual,imagery run 1/run 2,between_set,0.04214657940114512
4,heldout,higher_visual,imagery run 1/run 2,block_residual,0.08409495980188879
5,heldout,nsdgeneral,vision odd/even,all,0.3682133140337474
5,heldout,nsdgeneral,vision odd/even,within_set,0.2853754940711462
5,heldout,nsdgeneral,vision odd/even,between_set,0.3241494946030657
5,heldout,nsdgeneral,vision odd/even,block_residual,0.2528089086136094
5,heldout,nsdgeneral,imagery run 1/run 2,all,0.5581701580153593
5,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.22015810276679837
5,heldout,nsdgeneral,imagery run 1/run 2,between_set,0.16098392828222202
5,heldout,nsdgeneral,imagery run 1/run 2,block_residual,0.1513727295656047
5,heldout,early_visual,vision odd/even,all,0.3754640612225751
5,heldout,early_visual,vision odd/even,within_set,0.2963109354413702
5,heldout,early_visual,vision odd/even,between_set,0.2866424685853649
5,heldout,early_visual,vision odd/even,block_residual,0.2557981069537663
5,heldout,early_visual,imagery run 1/run 2,all,0.49908528004503233
5,heldout,early_visual,imagery run 1/run 2,within_set,0.12911725955204215
5,heldout,early_visual,imagery run 1/run 2,between_set,0.3704973944191984
5,heldout,early_visual,imagery run 1/run 2,block_residual,0.2983745909083065
5,heldout,higher_visual,vision odd/even,all,0.35811788830364677
5,heldout,higher_visual,vision odd/even,within_set,0.32121212121212117
5,heldout,higher_visual,vision odd/even,between_set,0.26696961902312155
5,heldout,higher_visual,vision odd/even,block_residual,0.27013550420348503
5,heldout,higher_visual,imagery run 1/run 2,all,0.5916830847171404
5,heldout,higher_visual,imagery run 1/run 2,within_set,-0.057444005270092226
5,heldout,higher_visual,imagery run 1/run 2,between_set,0.24854478074061367
5,heldout,higher_visual,imagery run 1/run 2,block_residual,0.19632397840719526
6,heldout,nsdgeneral,vision odd/even,all,0.10192258721670486
6,heldout,nsdgeneral,vision odd/even,within_set,-0.1774703557312253
6,heldout,nsdgeneral,vision odd/even,between_set,-0.02505549363133175
6,heldout,nsdgeneral,vision odd/even,block_residual,-0.0750146468205605
6,heldout,nsdgeneral,imagery run 1/run 2,all,0.294305281921381
6,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.07351778656126481
6,heldout,nsdgeneral,imagery run 1/run 2,between_set,-0.23991349662274808
6,heldout,nsdgeneral,imagery run 1/run 2,block_residual,-0.16403456871823172
6,heldout,early_visual,vision odd/even,all,0.15168268264243495
6,heldout,early_visual,vision odd/even,within_set,0.2372859025032938
6,heldout,early_visual,vision odd/even,between_set,-0.0604094620213972
6,heldout,early_visual,vision odd/even,block_residual,0.012933947653623084
6,heldout,early_visual,imagery run 1/run 2,all,0.3308438207819012
6,heldout,early_visual,imagery run 1/run 2,within_set,0.13913043478260867
6,heldout,early_visual,imagery run 1/run 2,between_set,-0.0443949050654015
6,heldout,early_visual,imagery run 1/run 2,block_residual,-0.003028643849196942
6,heldout,higher_visual,vision odd/even,all,0.1454337715947623
6,heldout,higher_visual,vision odd/even,within_set,-0.11660079051383397
6,heldout,higher_visual,vision odd/even,between_set,0.06396295978736175
6,heldout,higher_visual,vision odd/even,block_residual,0.03367027168112275
6,heldout,higher_visual,imagery run 1/run 2,all,0.21933510246203744
6,heldout,higher_visual,imagery run 1/run 2,within_set,-0.07654808959156784
6,heldout,higher_visual,imagery run 1/run 2,between_set,-0.18851639086570066
6,heldout,higher_visual,imagery run 1/run 2,block_residual,-0.15545724661259777
7,heldout,nsdgeneral,vision odd/even,all,0.037972605310066604
7,heldout,nsdgeneral,vision odd/even,within_set,-0.4158102766798419
7,heldout,nsdgeneral,vision odd/even,between_set,-0.09525850981737116
7,heldout,nsdgeneral,vision odd/even,block_residual,-0.18369985790750282
7,heldout,nsdgeneral,imagery run 1/run 2,all,0.3586070791953145
7,heldout,nsdgeneral,imagery run 1/run 2,within_set,-0.17839262187088273
7,heldout,nsdgeneral,imagery run 1/run 2,between_set,-0.09942172301771032
7,heldout,nsdgeneral,imagery run 1/run 2,block_residual,-0.112489826651171
7,heldout,early_visual,vision odd/even,all,0.120434776781526
7,heldout,early_visual,vision odd/even,within_set,-0.19868247694334648
7,heldout,early_visual,vision odd/even,between_set,0.05563653338668343
7,heldout,early_visual,vision odd/even,block_residual,-0.04668735561782327
7,heldout,early_visual,imagery run 1/run 2,all,0.3269369948936512
7,heldout,early_visual,imagery run 1/run 2,within_set,-0.11897233201581027
7,heldout,early_visual,imagery run 1/run 2,between_set,0.013851972524698239
7,heldout,early_visual,imagery run 1/run 2,block_residual,0.01895482067701235
7,heldout,higher_visual,vision odd/even,all,0.08251913205473575
7,heldout,higher_visual,vision odd/even,within_set,-0.23214756258234515
7,heldout,higher_visual,vision odd/even,between_set,0.02040641344422533
7,heldout,higher_visual,vision odd/even,block_residual,-0.0785777888162928
7,heldout,higher_visual,imagery run 1/run 2,all,0.5031998445311138
7,heldout,higher_visual,imagery run 1/run 2,within_set,-0.22621870882740447
7,heldout,higher_visual,imagery run 1/run 2,between_set,0.1944611163508531
7,heldout,higher_visual,imagery run 1/run 2,block_residual,0.10079518114795803
8,heldout,nsdgeneral,vision odd/even,all,0.21450685537372843
8,heldout,nsdgeneral,vision odd/even,within_set,0.125296442687747
8,heldout,nsdgeneral,vision odd/even,between_set,0.09773547876951803
8,heldout,nsdgeneral,vision odd/even,block_residual,0.11737401661777612
8,heldout,nsdgeneral,imagery run 1/run 2,all,0.2556156433865412
8,heldout,nsdgeneral,imagery run 1/run 2,within_set,0.0007905138339920947
8,heldout,nsdgeneral,imagery run 1/run 2,between_set,0.07831985290615145
8,heldout,nsdgeneral,imagery run 1/run 2,block_residual,0.018809128994423416
8,heldout,early_visual,vision odd/even,all,0.4714727996461742
8,heldout,early_visual,vision odd/even,within_set,0.6156785243741765
8,heldout,early_visual,vision odd/even,between_set,0.283612945020816
8,heldout,early_visual,vision odd/even,block_residual,0.409934719795008
8,heldout,early_visual,imagery run 1/run 2,all,0.150791417045287
8,heldout,early_visual,imagery run 1/run 2,within_set,0.06205533596837944
8,heldout,early_visual,imagery run 1/run 2,between_set,-0.06650661636514334
8,heldout,early_visual,imagery run 1/run 2,block_residual,-0.058097919278824635
8,heldout,higher_visual,vision odd/even,all,0.0724907187755485
8,heldout,higher_visual,vision odd/even,within_set,0.014756258234519102
8,heldout,higher_visual,vision odd/even,between_set,-0.01486181371288119
8,heldout,higher_visual,vision odd/even,block_residual,-0.02664759899073342
8,heldout,higher_visual,imagery run 1/run 2,all,0.2884651468242799
8,heldout,higher_visual,imagery run 1/run 2,within_set,-0.11910408432147562
8,heldout,higher_visual,imagery run 1/run 2,between_set,0.1437594672611392
8,heldout,higher_visual,imagery run 1/run 2,block_residual,0.04983543367904709
