roi,scope,n_subjects,mean_rho,median_rho,p_greater,p_two_sided
early_visual,all,7,0.3370008290397498,0.34191762829533723,0.0078125,0.015625
early_visual,between_set,7,0.006260470977953615,-0.010336581973382108,0.4140625,0.828125
early_visual,block_residual,7,0.068517124014711,0.07339005788959845,0.046875,0.09375
early_visual,within_set,7,0.2661584792019574,0.2403162055335968,0.0078125,0.015625
higher_visual,all,7,0.39869871393533485,0.3817498291182502,0.0078125,0.015625
higher_visual,between_set,7,-0.06282110431986106,-0.05189249954747682,0.890625,0.234375
higher_visual,block_residual,7,-0.008175237159671665,0.04314063182567581,0.578125,0.859375
higher_visual,within_set,7,0.22648221343873515,0.19525691699604739,0.0078125,0.015625
nsdgeneral,all,7,0.3909903674388416,0.38944285848310617,0.0078125,0.015625
nsdgeneral,between_set,7,-0.029820256434335144,-0.03477283336667714,0.828125,0.359375
nsdgeneral,block_residual,7,0.007212937906062438,0.010643293286313716,0.3984375,0.796875
nsdgeneral,within_set,7,0.24615095049877653,0.24927536231884057,0.0078125,0.015625
