feature_model,roi,task,scope,n_subjects,mean_rho,median_rho,p_greater,p_two_sided
CLIP images A+B + text C,early_visual,imagery,all,7,-0.3718970841925286,-0.3766267272459222,1.0,0.015625
CLIP images A+B + text C,early_visual,imagery,between_set,7,-0.014267068969975597,-0.008402640829975135,0.8359375,0.34375
CLIP images A+B + text C,early_visual,imagery,block_residual,7,-0.027084775782074515,-0.016186910152535865,0.8984375,0.21875
CLIP images A+B + text C,early_visual,imagery,within_set,7,-0.038942217203086764,-0.04637681159420289,0.9765625,0.0625
CLIP images A+B + text C,early_visual,vision,all,7,-0.3324717446787327,-0.3470105745647541,1.0,0.015625
CLIP images A+B + text C,early_visual,vision,between_set,7,-0.0021761941508147476,0.002619871007078415,0.5625,0.890625
CLIP images A+B + text C,early_visual,vision,block_residual,7,-0.03510437905982568,-0.03796030999512402,0.9921875,0.03125
CLIP images A+B + text C,early_visual,vision,within_set,7,-0.0841520798042537,-0.0828722002635046,1.0,0.015625
CLIP images A+B + text C,higher_visual,imagery,all,7,-0.4302218495053523,-0.42743556752844675,1.0,0.015625
CLIP images A+B + text C,higher_visual,imagery,between_set,7,-0.014169078989451108,-0.024064706050473006,0.9296875,0.15625
CLIP images A+B + text C,higher_visual,imagery,block_residual,7,-0.018709315577918054,-0.012169136525538972,0.8828125,0.25
CLIP images A+B + text C,higher_visual,imagery,within_set,7,-0.010991906644080557,-0.028590250329380756,0.78125,0.46875
CLIP images A+B + text C,higher_visual,vision,all,7,-0.39150253402796525,-0.4019138755980861,1.0,0.015625
CLIP images A+B + text C,higher_visual,vision,between_set,7,0.0314398130568927,0.03880267131574685,0.0546875,0.109375
CLIP images A+B + text C,higher_visual,vision,block_residual,7,0.03410042226387527,0.037794280757638514,0.1015625,0.203125
CLIP images A+B + text C,higher_visual,vision,within_set,7,-0.025879917184265005,-0.023583662714097495,0.984375,0.046875
CLIP images A+B + text C,nsdgeneral,imagery,all,7,-0.416660444081939,-0.40624958117218174,1.0,0.015625
CLIP images A+B + text C,nsdgeneral,imagery,between_set,7,0.000715871246609478,0.002657978221726828,0.46875,0.9375
CLIP images A+B + text C,nsdgeneral,imagery,block_residual,7,0.010643641821708202,0.0032636548929606273,0.2734375,0.546875
CLIP images A+B + text C,nsdgeneral,imagery,within_set,7,-0.009410878976096368,-0.004347826086956521,0.6640625,0.71875
CLIP images A+B + text C,nsdgeneral,vision,all,7,-0.37561148861458454,-0.3870605658531355,1.0,0.015625
CLIP images A+B + text C,nsdgeneral,vision,between_set,7,0.02895195632913201,0.03514437870949917,0.0078125,0.015625
CLIP images A+B + text C,nsdgeneral,vision,block_residual,7,0.033517096123024115,0.036894982135566794,0.0703125,0.140625
CLIP images A+B + text C,nsdgeneral,vision,within_set,7,-0.029663090532655745,-0.034519104084321475,0.984375,0.046875
HOG images A+B,early_visual,imagery,all,7,-0.08941376468818775,-0.10863733640388577,0.96875,0.078125
HOG images A+B,early_visual,imagery,between_set,7,0.06799043941901085,0.06537966537966539,0.0703125,0.140625
HOG images A+B,early_visual,imagery,block_residual,7,0.11931631202594237,0.11316392474684557,0.03125,0.0625
HOG images A+B,early_visual,imagery,within_set,7,0.028205744092222488,0.03873122469484441,0.2734375,0.546875
HOG images A+B,early_visual,vision,all,7,0.060545602384750465,0.06053963788840677,0.015625,0.03125
HOG images A+B,early_visual,vision,between_set,7,0.06140834712263284,0.05328185328185329,0.078125,0.15625
HOG images A+B,early_visual,vision,block_residual,7,0.3844331286070338,0.37469393921433586,0.0078125,0.015625
HOG images A+B,early_visual,vision,within_set,7,0.1875507087440003,0.21168617634940828,0.0078125,0.015625
HOG images A+B,higher_visual,imagery,all,7,-0.13938431505558402,-0.14604665747148057,1.0,0.015625
HOG images A+B,higher_visual,imagery,between_set,7,-0.014782129067843356,-0.0061776061776061784,0.6015625,0.8125
HOG images A+B,higher_visual,imagery,block_residual,7,0.07419709284154094,0.07385104024646533,0.1015625,0.203125
HOG images A+B,higher_visual,imagery,within_set,7,0.049765489858318156,-0.011574848759378791,0.15625,0.3125
HOG images A+B,higher_visual,vision,all,7,-0.11968656588056296,-0.12823965363740783,1.0,0.015625
HOG images A+B,higher_visual,vision,between_set,7,-0.12686155543298402,-0.1745173745173745,1.0,0.015625
HOG images A+B,higher_visual,vision,block_residual,7,0.028825816626462702,0.0179642140211054,0.21875,0.4375
HOG images A+B,higher_visual,vision,within_set,7,0.04063916679803873,0.054535345116303924,0.1015625,0.203125
HOG images A+B,nsdgeneral,imagery,all,7,-0.1493092369714765,-0.1499295445912198,1.0,0.015625
HOG images A+B,nsdgeneral,imagery,between_set,7,0.029196543482257774,0.03655083655083655,0.21875,0.4375
HOG images A+B,nsdgeneral,imagery,block_residual,7,0.06727938352950888,0.12641845519252864,0.1875,0.375
HOG images A+B,nsdgeneral,imagery,within_set,7,0.005119644643571392,0.003561491925962705,0.484375,0.96875
HOG images A+B,nsdgeneral,vision,all,7,-0.05744406428603405,-0.07546578998847947,0.984375,0.046875
HOG images A+B,nsdgeneral,vision,between_set,7,-0.05390696819268248,-0.032175032175032175,0.9921875,0.03125
HOG images A+B,nsdgeneral,vision,block_residual,7,0.18462961330127983,0.16783866748617257,0.0078125,0.015625
HOG images A+B,nsdgeneral,vision,within_set,7,0.11031085259968414,0.10461882532515446,0.015625,0.03125
