subject,phase,roi,task,feature_model,scope,rsa_rho,n_targets
1,pilot,nsdgeneral,vision,HOG images A+B,all,0.05594697570376901,12
1,pilot,nsdgeneral,vision,HOG images A+B,within_set,0.12776852284391205,12
1,pilot,nsdgeneral,vision,HOG images A+B,between_set,0.15830115830115832,12
1,pilot,nsdgeneral,vision,HOG images A+B,block_residual,0.3799716513723733,12
1,pilot,nsdgeneral,vision,CLIP images A+B + text C,all,-0.4045005562033425,18
1,pilot,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.008827404479578391,18
1,pilot,nsdgeneral,vision,CLIP images A+B + text C,between_set,-0.04790076881305553,18
1,pilot,nsdgeneral,vision,CLIP images A+B + text C,block_residual,-0.08139114197407173,18
1,pilot,nsdgeneral,imagery,HOG images A+B,all,-0.18447888966201745,12
1,pilot,nsdgeneral,imagery,HOG images A+B,within_set,-0.0992765874362104,12
1,pilot,nsdgeneral,imagery,HOG images A+B,between_set,-0.05328185328185329,12
1,pilot,nsdgeneral,imagery,HOG images A+B,block_residual,-0.10478220683194639,12
1,pilot,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.36334821009743606,18
1,pilot,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.015810276679841896,18
1,pilot,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.037897624967847036,18
1,pilot,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.054861458227644225,18
1,pilot,early_visual,vision,HOG images A+B,all,0.13627681246052392,12
1,pilot,early_visual,vision,HOG images A+B,within_set,0.2388425522848739,12
1,pilot,early_visual,vision,HOG images A+B,between_set,0.22882882882882882,12
1,pilot,early_visual,vision,HOG images A+B,block_residual,0.5509852350645691,12
1,pilot,early_visual,vision,CLIP images A+B + text C,all,-0.36264792998539125,18
1,pilot,early_visual,vision,CLIP images A+B + text C,within_set,-0.10368906455862975,18
1,pilot,early_visual,vision,CLIP images A+B + text C,between_set,-0.030571512951689576,18
1,pilot,early_visual,vision,CLIP images A+B + text C,block_residual,-0.06709277916393629,18
1,pilot,early_visual,imagery,HOG images A+B,all,-0.16523145996094465,12
1,pilot,early_visual,imagery,HOG images A+B,within_set,-0.09081804411204897,12
1,pilot,early_visual,imagery,HOG images A+B,between_set,0.02908622908622909,12
1,pilot,early_visual,imagery,HOG images A+B,block_residual,-0.04730807535762402,12
1,pilot,early_visual,imagery,CLIP images A+B + text C,all,-0.3547036039296101,18
1,pilot,early_visual,imagery,CLIP images A+B + text C,within_set,-0.014492753623188404,18
1,pilot,early_visual,imagery,CLIP images A+B + text C,between_set,0.0338106261968047,18
1,pilot,early_visual,imagery,CLIP images A+B + text C,block_residual,0.04665967043354255,18
1,pilot,higher_visual,vision,HOG images A+B,all,-0.08734408445692893,12
1,pilot,higher_visual,vision,HOG images A+B,within_set,0.06989427904701807,12
1,pilot,higher_visual,vision,HOG images A+B,between_set,-0.02059202059202059,12
1,pilot,higher_visual,vision,HOG images A+B,block_residual,-0.019609951577466388,12
1,pilot,higher_visual,vision,CLIP images A+B + text C,all,-0.43174111749963134,18
1,pilot,higher_visual,vision,CLIP images A+B + text C,within_set,-0.03544137022397892,18
1,pilot,higher_visual,vision,CLIP images A+B + text C,between_set,-0.03747844560671448,18
1,pilot,higher_visual,vision,CLIP images A+B + text C,block_residual,-0.05754666791793692,18
1,pilot,higher_visual,imagery,HOG images A+B,all,-0.2618861232103665,12
1,pilot,higher_visual,imagery,HOG images A+B,within_set,-0.15626045825161367,12
1,pilot,higher_visual,imagery,HOG images A+B,between_set,-0.06023166023166024,12
1,pilot,higher_visual,imagery,HOG images A+B,block_residual,-0.21711419359922723,12
1,pilot,higher_visual,imagery,CLIP images A+B + text C,all,-0.3651843512524627,18
1,pilot,higher_visual,imagery,CLIP images A+B + text C,within_set,-0.007905138339920948,18
1,pilot,higher_visual,imagery,CLIP images A+B + text C,between_set,0.02302628445130374,18
1,pilot,higher_visual,imagery,CLIP images A+B + text C,block_residual,0.06912493769122252,18
2,heldout,nsdgeneral,vision,HOG images A+B,all,0.05083242008905879,12
2,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.2537562997248427,12
2,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.14105534105534107,12
2,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.38539331509339925,12
2,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3001822738664844,18
2,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,-0.057575757575757565,18
2,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.03514437870949917,18
2,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.04827972973629213,18
2,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.22399666018710504,12
2,heldout,nsdgeneral,imagery,HOG images A+B,within_set,-0.0783528223711795,12
2,heldout,nsdgeneral,imagery,HOG images A+B,between_set,-0.07876447876447876,12
2,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,-0.10327957463074601,12
2,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.40624958117218174,18
2,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.004347826086956521,18
2,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,-0.029380662493926665,18
2,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,-0.057675116660982136,18
2,heldout,early_visual,vision,HOG images A+B,all,0.074943896558407,12
2,heldout,early_visual,vision,HOG images A+B,within_set,0.26221484304900416,12
2,heldout,early_visual,vision,HOG images A+B,between_set,-0.06126126126126127,12
2,heldout,early_visual,vision,HOG images A+B,block_residual,0.37469393921433586,12
2,heldout,early_visual,vision,CLIP images A+B + text C,all,-0.27299532253092623,18
2,heldout,early_visual,vision,CLIP images A+B + text C,within_set,-0.08274044795783925,18
2,heldout,early_visual,vision,CLIP images A+B + text C,between_set,0.002619871007078415,18
2,heldout,early_visual,vision,CLIP images A+B + text C,block_residual,-0.015249763432378794,18
2,heldout,early_visual,imagery,HOG images A+B,all,-0.1850216588292928,12
2,heldout,early_visual,imagery,HOG images A+B,within_set,-0.08169172105176954,12
2,heldout,early_visual,imagery,HOG images A+B,between_set,0.09292149292149292,12
2,heldout,early_visual,imagery,HOG images A+B,block_residual,-0.03740745968474841,12
2,heldout,early_visual,imagery,CLIP images A+B + text C,all,-0.39831530698403755,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,within_set,-0.024637681159420284,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,between_set,-0.06991721207617632,18
2,heldout,early_visual,imagery,CLIP images A+B + text C,block_residual,-0.10480509026260021,18
2,heldout,higher_visual,vision,HOG images A+B,all,-0.11682062538742216,12
2,heldout,higher_visual,vision,HOG images A+B,within_set,0.12109072548273196,12
2,heldout,higher_visual,vision,HOG images A+B,between_set,-0.21441441441441444,12
2,heldout,higher_visual,vision,HOG images A+B,block_residual,0.12923865212432675,12
2,heldout,higher_visual,vision,CLIP images A+B + text C,all,-0.3545159690670526,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,within_set,-0.01805006587615283,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,between_set,0.03880267131574685,18
2,heldout,higher_visual,vision,CLIP images A+B + text C,block_residual,0.037794280757638514,18
2,heldout,higher_visual,imagery,HOG images A+B,all,-0.14604665747148057,12
2,heldout,higher_visual,imagery,HOG images A+B,within_set,-0.011574848759378791,12
2,heldout,higher_visual,imagery,HOG images A+B,between_set,-0.11737451737451739,12
2,heldout,higher_visual,imagery,HOG images A+B,block_residual,-0.020111967255675066,12
2,heldout,higher_visual,imagery,CLIP images A+B + text C,all,-0.4028989586265127,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,within_set,0.0461133069828722,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,between_set,-0.030371450074785405,18
2,heldout,higher_visual,imagery,CLIP images A+B + text C,block_residual,-0.012169136525538972,18
3,heldout,nsdgeneral,vision,HOG images A+B,all,-0.07546578998847947,12
3,heldout,nsdgeneral,vision,HOG images A+B,within_set,0.15715083123310436,12
3,heldout,nsdgeneral,vision,HOG images A+B,between_set,-0.08185328185328186,12
3,heldout,nsdgeneral,vision,HOG images A+B,block_residual,0.16783866748617257,12
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,all,-0.3616494444667818,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,within_set,0.01949934123847167,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,between_set,0.05442662932159631,18
3,heldout,nsdgeneral,vision,CLIP images A+B + text C,block_residual,0.11031139925441781,18
3,heldout,nsdgeneral,imagery,HOG images A+B,all,-0.2840561561198451,12
3,heldout,nsdgeneral,imagery,HOG images A+B,within_set,-0.1395659648486635,12
3,heldout,nsdgeneral,imagery,HOG images A+B,between_set,-0.0797940797940798,12
3,heldout,nsdgeneral,imagery,HOG images A+B,block_residual,-0.16707785541896752,12
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,all,-0.3990490933215391,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,within_set,-0.025691699604743077,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,between_set,0.02127335257747673,18
3,heldout,nsdgeneral,imagery,CLIP images A+B + text C,block_residual,0.0032636548929606273,18
3,heldout,early_visual,vision,HOG images A+B,all,0.014759146202449511,12
3,heldout,early_visual,vision,HOG images A+B,within_set,0.21168617634940828,12
