subject,phase,roi,stimulus_set,n_voxels,vision_split_rho_median,vision_split_rho_q25,vision_split_rho_q75,imagery_run_rho,vision_imagery_rho,transfer_p_greater,transfer_p_two_sided
1,pilot,nsdgeneral,A,1200,0.06785714285714285,-0.06517857142857142,0.23928571428571427,0.15357142857142855,0.21428571428571427,0.28055555555555556,0.5458333333333333
1,pilot,nsdgeneral,B,1200,0.175,0.0,0.33928571428571425,-0.30357142857142855,0.6464285714285715,0.018055555555555554,0.03333333333333333
1,pilot,early_visual,A,1200,0.40714285714285703,0.29107142857142854,0.5330357142857142,0.1714285714285714,-0.15357142857142858,0.6819444444444445,0.6652777777777777
1,pilot,early_visual,B,1200,-0.010714285714285711,-0.18749999999999997,0.1714285714285714,-0.4107142857142856,0.21428571428571427,0.25555555555555554,0.5194444444444445
1,pilot,higher_visual,A,1200,0.041071428571428564,-0.1544642857142857,0.19464285714285712,-0.010714285714285713,0.3678571428571429,0.13055555555555556,0.24722222222222223
1,pilot,higher_visual,B,1200,0.12678571428571428,-0.061607142857142846,0.3374999999999999,-0.3071428571428571,0.4392857142857143,0.07916666666666666,0.1736111111111111
2,heldout,nsdgeneral,A,1200,0.3678571428571428,0.25,0.5142857142857142,0.2928571428571428,0.37142857142857144,0.11944444444444445,0.24305555555555555
2,heldout,nsdgeneral,B,1200,0.15,0.02767857142857142,0.2758928571428571,0.11428571428571425,0.8464285714285714,0.002777777777777778,0.002777777777777778
2,heldout,early_visual,A,1200,0.5410714285714284,0.4580357142857142,0.6401785714285713,0.06071428571428571,0.11785714285714285,0.3486111111111111,0.7305555555555555
2,heldout,early_visual,B,1200,0.2678571428571428,0.13125,0.40892857142857136,-0.30357142857142855,0.6142857142857143,0.02638888888888889,0.05
2,heldout,higher_visual,A,1200,0.02321428571428571,-0.15714285714285714,0.18660714285714283,0.4464285714285714,0.25,0.24027777777777778,0.48055555555555557
2,heldout,higher_visual,B,1200,-0.012499999999999997,-0.16874999999999996,0.14464285714285713,0.38928571428571423,0.7214285714285714,0.002777777777777778,0.005555555555555556
