stimulus_set,task,feature_model,contrast,n_subjects,mean_difference,median_difference,p_greater,p_two_sided
A,imagery,CLIP,nsdgeneral_minus_early,7,0.0005102040816326572,-0.03214285714285714,0.5,1.0
A,imagery,CLIP,nsdgeneral_minus_higher,7,-0.03418367346938776,0.053571428571428575,0.6875,0.640625
A,imagery,CLIP,early_minus_higher,7,-0.0346938775510204,-0.075,0.671875,0.6875
A,imagery,HOG,nsdgeneral_minus_early,7,-0.09891194903106844,-0.08071830037509467,0.953125,0.109375
A,imagery,HOG,nsdgeneral_minus_higher,7,-0.021524880100025255,-0.060987160283404895,0.6015625,0.8125
A,imagery,HOG,early_minus_higher,7,0.07738706893104318,-0.03228732015003788,0.28125,0.5625
A,vision,CLIP,nsdgeneral_minus_early,7,-0.04132653061224491,-0.05,0.7890625,0.4375
A,vision,CLIP,nsdgeneral_minus_higher,7,-0.016326530612244892,0.04642857142857143,0.671875,0.703125
A,vision,CLIP,early_minus_higher,7,0.024999999999999998,0.08214285714285714,0.3125,0.625
A,vision,HOG,nsdgeneral_minus_early,7,-0.11992433198585499,-0.11300562052513263,0.953125,0.109375
A,vision,HOG,nsdgeneral_minus_higher,7,0.1970551523442788,0.2816171813086637,0.015625,0.03125
A,vision,HOG,early_minus_higher,7,0.3169794843301338,0.4663724021672139,0.03125,0.0625
B,imagery,CLIP,nsdgeneral_minus_early,7,0.1525510204081633,0.15714285714285714,0.015625,0.03125
B,imagery,CLIP,nsdgeneral_minus_higher,7,-0.016836734693877562,-0.02142857142857143,0.625,0.765625
B,imagery,CLIP,early_minus_higher,7,-0.16938775510204082,-0.18928571428571428,0.9609375,0.09375
B,imagery,HOG,nsdgeneral_minus_early,7,0.1086734693877551,0.15000000000000002,0.046875,0.09375
B,imagery,HOG,nsdgeneral_minus_higher,7,-0.06122448979591837,-0.07857142857142857,0.90625,0.203125
B,imagery,HOG,early_minus_higher,7,-0.16989795918367348,-0.25357142857142856,0.9765625,0.0625
B,vision,CLIP,nsdgeneral_minus_early,7,0.18010204081632653,0.1392857142857143,0.015625,0.03125
B,vision,CLIP,nsdgeneral_minus_higher,7,0.02653061224489796,0.0,0.1875,0.375
B,vision,CLIP,early_minus_higher,7,-0.15357142857142855,-0.14285714285714285,0.9921875,0.03125
B,vision,HOG,nsdgeneral_minus_early,7,-0.05969387755102041,-0.12142857142857143,0.8828125,0.25
B,vision,HOG,nsdgeneral_minus_higher,7,0.02244897959183673,0.053571428571428575,0.3359375,0.671875
B,vision,HOG,early_minus_higher,7,0.08214285714285716,0.17142857142857143,0.1484375,0.296875
