subject,phase,stimulus_set,task,roi_pair,rdm_rho
1,pilot,A,vision,nsdgeneral_vs_early,0.8214285714285712
1,pilot,A,vision,nsdgeneral_vs_higher,0.38928571428571423
1,pilot,A,vision,early_vs_higher,-0.11071428571428568
1,pilot,A,imagery,nsdgeneral_vs_early,0.7642857142857141
1,pilot,A,imagery,nsdgeneral_vs_higher,0.8607142857142854
1,pilot,A,imagery,early_vs_higher,0.6
1,pilot,B,vision,nsdgeneral_vs_early,0.5642857142857142
1,pilot,B,vision,nsdgeneral_vs_higher,0.9464285714285712
1,pilot,B,vision,early_vs_higher,0.4678571428571427
1,pilot,B,imagery,nsdgeneral_vs_early,0.7642857142857141
1,pilot,B,imagery,nsdgeneral_vs_higher,0.8499999999999999
1,pilot,B,imagery,early_vs_higher,0.5249999999999999
2,heldout,A,vision,nsdgeneral_vs_early,0.9535714285714283
2,heldout,A,vision,nsdgeneral_vs_higher,0.7249999999999999
2,heldout,A,vision,early_vs_higher,0.6499999999999999
2,heldout,A,imagery,nsdgeneral_vs_early,0.7392857142857142
2,heldout,A,imagery,nsdgeneral_vs_higher,0.7928571428571427
2,heldout,A,imagery,early_vs_higher,0.33928571428571425
2,heldout,B,vision,nsdgeneral_vs_early,0.3214285714285714
2,heldout,B,vision,nsdgeneral_vs_higher,0.7999999999999999
2,heldout,B,vision,early_vs_higher,0.2571428571428571
2,heldout,B,imagery,nsdgeneral_vs_early,0.5035714285714286
2,heldout,B,imagery,nsdgeneral_vs_higher,0.8892857142857141
2,heldout,B,imagery,early_vs_higher,0.2321428571428571
3,heldout,A,vision,nsdgeneral_vs_early,0.8642857142857141
3,heldout,A,vision,nsdgeneral_vs_higher,0.4928571428571427
3,heldout,A,vision,early_vs_higher,0.3857142857142856
3,heldout,A,imagery,nsdgeneral_vs_early,0.6071428571428571
3,heldout,A,imagery,nsdgeneral_vs_higher,0.6642857142857141
3,heldout,A,imagery,early_vs_higher,0.4535714285714285
3,heldout,B,vision,nsdgeneral_vs_early,0.7785714285714285
3,heldout,B,vision,nsdgeneral_vs_higher,0.8642857142857141
3,heldout,B,vision,early_vs_higher,0.6107142857142855
3,heldout,B,imagery,nsdgeneral_vs_early,0.657142857142857
3,heldout,B,imagery,nsdgeneral_vs_higher,0.6785714285714285
3,heldout,B,imagery,early_vs_higher,0.4357142857142856
4,heldout,A,vision,nsdgeneral_vs_early,0.6178571428571428
4,heldout,A,vision,nsdgeneral_vs_higher,0.8785714285714284
4,heldout,A,vision,early_vs_higher,0.39999999999999997
4,heldout,A,imagery,nsdgeneral_vs_early,0.9214285714285713
4,heldout,A,imagery,nsdgeneral_vs_higher,0.8892857142857141
4,heldout,A,imagery,early_vs_higher,0.8857142857142855
4,heldout,B,vision,nsdgeneral_vs_early,0.7
4,heldout,B,vision,nsdgeneral_vs_higher,0.7178571428571427
4,heldout,B,vision,early_vs_higher,0.47857142857142854
4,heldout,B,imagery,nsdgeneral_vs_early,0.8749999999999999
4,heldout,B,imagery,nsdgeneral_vs_higher,0.7285714285714285
4,heldout,B,imagery,early_vs_higher,0.475
5,heldout,A,vision,nsdgeneral_vs_early,0.7928571428571427
5,heldout,A,vision,nsdgeneral_vs_higher,0.48571428571428565
5,heldout,A,vision,early_vs_higher,0.2321428571428571
5,heldout,A,imagery,nsdgeneral_vs_early,0.8428571428571429
5,heldout,A,imagery,nsdgeneral_vs_higher,0.3071428571428571
5,heldout,A,imagery,early_vs_higher,-0.11428571428571425
5,heldout,B,vision,nsdgeneral_vs_early,0.5499999999999999
5,heldout,B,vision,nsdgeneral_vs_higher,0.7321428571428571
5,heldout,B,vision,early_vs_higher,0.3428571428571428
5,heldout,B,imagery,nsdgeneral_vs_early,0.5178571428571428
5,heldout,B,imagery,nsdgeneral_vs_higher,0.7071428571428571
5,heldout,B,imagery,early_vs_higher,0.049999999999999996
6,heldout,A,vision,nsdgeneral_vs_early,0.7642857142857141
6,heldout,A,vision,nsdgeneral_vs_higher,0.7321428571428571
6,heldout,A,vision,early_vs_higher,0.33571428571428563
6,heldout,A,imagery,nsdgeneral_vs_early,0.8607142857142854
6,heldout,A,imagery,nsdgeneral_vs_higher,0.7999999999999999
6,heldout,A,imagery,early_vs_higher,0.6499999999999999
6,heldout,B,vision,nsdgeneral_vs_early,0.6
6,heldout,B,vision,nsdgeneral_vs_higher,0.8642857142857141
6,heldout,B,vision,early_vs_higher,0.42499999999999993
6,heldout,B,imagery,nsdgeneral_vs_early,0.48214285714285704
6,heldout,B,imagery,nsdgeneral_vs_higher,0.8035714285714284
6,heldout,B,imagery,early_vs_higher,0.34642857142857136
7,heldout,A,vision,nsdgeneral_vs_early,0.7035714285714285
7,heldout,A,vision,nsdgeneral_vs_higher,0.7285714285714285
7,heldout,A,vision,early_vs_higher,0.2714285714285714
7,heldout,A,imagery,nsdgeneral_vs_early,0.5785714285714285
7,heldout,A,imagery,nsdgeneral_vs_higher,0.7285714285714285
7,heldout,A,imagery,early_vs_higher,0.7321428571428571
7,heldout,B,vision,nsdgeneral_vs_early,0.7357142857142855
7,heldout,B,vision,nsdgeneral_vs_higher,0.8928571428571428
