method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
GroundTruth_GNet,subj02,imagery,A,1,1,early_visual,0.3209458625253769,3757
GroundTruth_GNet,subj02,imagery,A,2,1,early_visual,0.03940260826768034,3757
GroundTruth_GNet,subj02,imagery,A,3,1,early_visual,0.24810720574481673,3757
GroundTruth_GNet,subj02,imagery,A,4,1,early_visual,0.4142299751145558,3757
GroundTruth_GNet,subj02,imagery,A,5,1,early_visual,-0.33346802876705134,3757
GroundTruth_GNet,subj02,imagery,A,6,1,early_visual,-0.12569431901224637,3757
GroundTruth_GNet,subj02,imagery,B,1,1,early_visual,0.01928425244413657,3757
GroundTruth_GNet,subj02,imagery,B,2,1,early_visual,0.2549226954082736,3757
GroundTruth_GNet,subj02,imagery,B,3,1,early_visual,0.16736892404212256,3757
GroundTruth_GNet,subj02,imagery,B,4,1,early_visual,-0.09196698134457655,3757
GroundTruth_GNet,subj02,imagery,B,5,1,early_visual,0.07838478703216664,3757
GroundTruth_GNet,subj02,imagery,B,6,1,early_visual,0.022612061217522236,3757
GroundTruth_GNet,subj02,imagery,A,1,1,higher_visual,0.09179040118384851,10521
GroundTruth_GNet,subj02,imagery,A,2,1,higher_visual,-0.10417907493351451,10521
GroundTruth_GNet,subj02,imagery,A,3,1,higher_visual,0.14612820983205935,10521
GroundTruth_GNet,subj02,imagery,A,4,1,higher_visual,0.10542579710697035,10521
GroundTruth_GNet,subj02,imagery,A,5,1,higher_visual,0.08800480690387137,10521
GroundTruth_GNet,subj02,imagery,A,6,1,higher_visual,0.06510152253334091,10521
GroundTruth_GNet,subj02,imagery,B,1,1,higher_visual,0.2929263036978732,10521
GroundTruth_GNet,subj02,imagery,B,2,1,higher_visual,0.12910040163809497,10521
GroundTruth_GNet,subj02,imagery,B,3,1,higher_visual,0.20397132820134176,10521
GroundTruth_GNet,subj02,imagery,B,4,1,higher_visual,0.37589548933654976,10521
GroundTruth_GNet,subj02,imagery,B,5,1,higher_visual,0.37014798371653534,10521
GroundTruth_GNet,subj02,imagery,B,6,1,higher_visual,-0.036044543398106206,10521
GroundTruth_GNet,subj02,imagery,A,1,1,visual_cortex,0.2082785561133288,14278
GroundTruth_GNet,subj02,imagery,A,2,1,visual_cortex,-0.07615436059181889,14278
GroundTruth_GNet,subj02,imagery,A,3,1,visual_cortex,0.12504348647157107,14278
GroundTruth_GNet,subj02,imagery,A,4,1,visual_cortex,0.24782248627103792,14278
GroundTruth_GNet,subj02,imagery,A,5,1,visual_cortex,-0.06259008388372965,14278
GroundTruth_GNet,subj02,imagery,A,6,1,visual_cortex,-0.03153829581271678,14278
GroundTruth_GNet,subj02,imagery,B,1,1,visual_cortex,0.1865678823356035,14278
GroundTruth_GNet,subj02,imagery,B,2,1,visual_cortex,0.16171942844345458,14278
GroundTruth_GNet,subj02,imagery,B,3,1,visual_cortex,0.1931777535577412,14278
GroundTruth_GNet,subj02,imagery,B,4,1,visual_cortex,0.2358497311041979,14278
GroundTruth_GNet,subj02,imagery,B,5,1,visual_cortex,0.2675189598079887,14278
GroundTruth_GNet,subj02,imagery,B,6,1,visual_cortex,-0.04923931465492851,14278
