row_id,subject,subject_10k_index,nsd_73k_id,n_repeats,beta_normalization,split
0,subj01,1,2951,3,session_zscore,test
1,subj01,2,2991,3,session_zscore,test
2,subj01,3,3050,3,session_zscore,test
3,subj01,4,3078,3,session_zscore,test
4,subj01,5,3147,3,session_zscore,test
5,subj01,6,3158,3,session_zscore,test
6,subj01,7,3165,3,session_zscore,test
7,subj01,8,3172,3,session_zscore,test
8,subj01,9,3182,3,session_zscore,test
9,subj01,10,3387,3,session_zscore,test
10,subj01,11,3435,3,session_zscore,test
11,subj01,12,3450,3,session_zscore,test
12,subj01,13,3490,3,session_zscore,test
13,subj01,14,3627,3,session_zscore,test
14,subj01,15,3683,3,session_zscore,test
15,subj01,16,3688,3,session_zscore,test
16,subj01,17,3730,3,session_zscore,test
17,subj01,18,3810,3,session_zscore,test
18,subj01,19,3843,3,session_zscore,test
19,subj01,20,3848,3,session_zscore,test
20,subj01,21,3857,3,session_zscore,test
21,subj01,22,3914,3,session_zscore,test
22,subj01,23,3952,3,session_zscore,test
23,subj01,24,4052,3,session_zscore,test
24,subj01,25,4059,3,session_zscore,test
25,subj01,26,4130,3,session_zscore,test
26,subj01,27,4157,3,session_zscore,test
27,subj01,28,4250,3,session_zscore,test
28,subj01,29,4326,3,session_zscore,test
29,subj01,30,4424,3,session_zscore,test
30,subj01,31,4437,3,session_zscore,test
31,subj01,32,4613,3,session_zscore,test
32,subj01,33,4668,3,session_zscore,test
33,subj01,34,4691,3,session_zscore,test
34,subj01,35,4769,3,session_zscore,test
35,subj01,36,4787,3,session_zscore,test
36,subj01,37,4836,3,session_zscore,test
37,subj01,38,4870,3,session_zscore,test
38,subj01,39,4893,3,session_zscore,test
39,subj01,40,4931,3,session_zscore,test
40,subj01,41,5035,3,session_zscore,test
41,subj01,42,5107,3,session_zscore,test
42,subj01,43,5205,3,session_zscore,test
43,subj01,44,5286,3,session_zscore,test
44,subj01,45,5302,3,session_zscore,test
45,subj01,46,5339,3,session_zscore,test
46,subj01,47,5428,3,session_zscore,test
47,subj01,48,5460,3,session_zscore,test
48,subj01,49,5503,3,session_zscore,test
49,subj01,50,5543,3,session_zscore,test
50,subj01,51,5575,3,session_zscore,test
51,subj01,52,5584,3,session_zscore,test
52,subj01,53,5603,3,session_zscore,test
53,subj01,54,5715,3,session_zscore,test
54,subj01,55,5879,3,session_zscore,test
55,subj01,56,5891,3,session_zscore,test
56,subj01,57,6133,3,session_zscore,test
57,subj01,58,6200,3,session_zscore,test
58,subj01,59,6223,3,session_zscore,test
59,subj01,60,6432,3,session_zscore,test
60,subj01,61,6445,3,session_zscore,test
61,subj01,62,6490,3,session_zscore,test
62,subj01,63,6515,3,session_zscore,test
63,subj01,64,6522,3,session_zscore,test
64,subj01,65,6525,3,session_zscore,test
65,subj01,66,6559,3,session_zscore,test
66,subj01,67,6641,3,session_zscore,test
67,subj01,68,6714,3,session_zscore,test
68,subj01,69,6802,3,session_zscore,test
69,subj01,70,7008,3,session_zscore,test
70,subj01,71,7040,3,session_zscore,test
71,subj01,72,7121,3,session_zscore,test
72,subj01,73,7208,3,session_zscore,test
73,subj01,74,7337,3,session_zscore,test
74,subj01,75,7367,3,session_zscore,test
75,subj01,76,7410,3,session_zscore,test
76,subj01,77,7419,3,session_zscore,test
77,subj01,78,7481,3,session_zscore,test
78,subj01,79,7655,3,session_zscore,test
79,subj01,80,7660,3,session_zscore,test
80,subj01,81,7841,3,session_zscore,test
81,subj01,82,7860,3,session_zscore,test
82,subj01,83,7945,3,session_zscore,test
83,subj01,84,7949,3,session_zscore,test
84,subj01,85,7955,3,session_zscore,test
85,subj01,86,8007,3,session_zscore,test
86,subj01,87,8110,3,session_zscore,test
87,subj01,88,8205,3,session_zscore,test
88,subj01,89,8226,3,session_zscore,test
89,subj01,90,8263,3,session_zscore,test
90,subj01,91,8275,3,session_zscore,test
91,subj01,92,8319,3,session_zscore,test
92,subj01,93,8388,3,session_zscore,test
93,subj01,94,8395,3,session_zscore,test
94,subj01,95,8416,3,session_zscore,test
95,subj01,96,8436,3,session_zscore,test
96,subj01,97,8466,3,session_zscore,test
97,subj01,98,8510,3,session_zscore,test
98,subj01,99,8632,3,session_zscore,test
99,subj01,100,8647,3,session_zscore,test
100,subj01,101,8808,3,session_zscore,test
101,subj01,102,8844,3,session_zscore,test
102,subj01,103,8926,3,session_zscore,test
103,subj01,104,8934,3,session_zscore,test
104,subj01,105,9028,3,session_zscore,test
105,subj01,106,9049,3,session_zscore,test
106,subj01,107,9148,3,session_zscore,test
107,subj01,108,9231,3,session_zscore,test
108,subj01,109,9435,3,session_zscore,test
109,subj01,110,9463,3,session_zscore,test
110,subj01,111,9681,3,session_zscore,test
111,subj01,112,9723,3,session_zscore,test
112,subj01,113,9805,3,session_zscore,test
113,subj01,114,9848,3,session_zscore,test
114,subj01,115,9866,3,session_zscore,test
115,subj01,116,9918,3,session_zscore,test
116,subj01,117,9979,3,session_zscore,test
117,subj01,118,10007,3,session_zscore,test
118,subj01,119,10047,3,session_zscore,test
119,subj01,120,10065,3,session_zscore,test
120,subj01,121,10106,3,session_zscore,test
121,subj01,122,10108,3,session_zscore,test
122,subj01,123,10245,3,session_zscore,test
123,subj01,124,10394,3,session_zscore,test
124,subj01,125,10472,3,session_zscore,test
125,subj01,126,10508,3,session_zscore,test
126,subj01,127,10587,3,session_zscore,test
127,subj01,128,10601,3,session_zscore,test
128,subj01,129,10611,3,session_zscore,test
129,subj01,130,10908,3,session_zscore,test
130,subj01,131,11160,3,session_zscore,test
131,subj01,132,11334,3,session_zscore,test
132,subj01,133,11488,3,session_zscore,test
133,subj01,134,11522,3,session_zscore,test
134,subj01,135,11567,3,session_zscore,test
135,subj01,136,11618,3,session_zscore,test
136,subj01,137,11636,3,session_zscore,test
137,subj01,138,11690,3,session_zscore,test
138,subj01,139,11726,3,session_zscore,test
139,subj01,140,11797,3,session_zscore,test
140,subj01,141,11828,3,session_zscore,test
141,subj01,142,11838,3,session_zscore,test
142,subj01,143,11845,3,session_zscore,test
143,subj01,144,11933,3,session_zscore,test
144,subj01,145,11943,3,session_zscore,test
145,subj01,146,11953,3,session_zscore,test
146,subj01,147,12066,3,session_zscore,test
147,subj01,148,12076,3,session_zscore,test
148,subj01,149,12215,3,session_zscore,test
149,subj01,150,12309,3,session_zscore,test
150,subj01,151,12488,3,session_zscore,test
151,subj01,152,12496,3,session_zscore,test
152,subj01,153,12635,3,session_zscore,test
153,subj01,154,12686,3,session_zscore,test
154,subj01,155,12797,3,session_zscore,test
155,subj01,156,12799,3,session_zscore,test
156,subj01,157,12923,3,session_zscore,test
157,subj01,158,12938,3,session_zscore,test
158,subj01,159,13139,3,session_zscore,test
159,subj01,160,13231,3,session_zscore,test
160,subj01,161,13313,3,session_zscore,test
161,subj01,162,13315,3,session_zscore,test
162,subj01,163,13614,3,session_zscore,test
163,subj01,164,13654,3,session_zscore,test
164,subj01,165,13663,3,session_zscore,test
165,subj01,166,13721,3,session_zscore,test
166,subj01,167,13847,3,session_zscore,test
167,subj01,168,14111,3,session_zscore,test
168,subj01,169,14122,3,session_zscore,test
169,subj01,170,14166,3,session_zscore,test
170,subj01,171,14180,3,session_zscore,test
171,subj01,172,14444,3,session_zscore,test
172,subj01,173,14529,3,session_zscore,test
173,subj01,174,14568,3,session_zscore,test
174,subj01,175,14595,3,session_zscore,test
175,subj01,176,14611,3,session_zscore,test
176,subj01,177,14645,3,session_zscore,test
177,subj01,178,14794,3,session_zscore,test
178,subj01,179,14809,3,session_zscore,test
179,subj01,180,14821,3,session_zscore,test
180,subj01,181,14899,3,session_zscore,test
181,subj01,182,14932,3,session_zscore,test
182,subj01,183,15004,3,session_zscore,test
183,subj01,184,15026,3,session_zscore,test
184,subj01,185,15129,3,session_zscore,test
185,subj01,186,15365,3,session_zscore,test
186,subj01,187,15493,3,session_zscore,test
187,subj01,188,15507,3,session_zscore,test
188,subj01,189,15794,3,session_zscore,test
189,subj01,190,15820,3,session_zscore,test
190,subj01,191,15940,3,session_zscore,test
191,subj01,192,16064,3,session_zscore,test
192,subj01,193,16253,3,session_zscore,test
193,subj01,194,16345,3,session_zscore,test
194,subj01,195,16422,3,session_zscore,test
195,subj01,196,16467,3,session_zscore,test
196,subj01,197,16617,3,session_zscore,test
197,subj01,198,16636,3,session_zscore,test
198,subj01,199,16656,3,session_zscore,test
199,subj01,200,16703,3,session_zscore,test
200,subj01,201,16724,3,session_zscore,test
201,subj01,202,16824,3,session_zscore,test
202,subj01,203,16842,3,session_zscore,test
203,subj01,204,16866,3,session_zscore,test
204,subj01,205,16869,3,session_zscore,test
205,subj01,206,16918,3,session_zscore,test
206,subj01,207,17049,3,session_zscore,test
207,subj01,208,17231,3,session_zscore,test
208,subj01,209,17239,3,session_zscore,test
209,subj01,210,17370,3,session_zscore,test
210,subj01,211,17375,3,session_zscore,test
211,subj01,212,17451,3,session_zscore,test
212,subj01,213,17464,3,session_zscore,test
213,subj01,214,17486,3,session_zscore,test
214,subj01,215,17550,3,session_zscore,test
215,subj01,216,17596,3,session_zscore,test
216,subj01,217,17777,3,session_zscore,test
217,subj01,218,17795,3,session_zscore,test
218,subj01,219,17935,3,session_zscore,test
219,subj01,220,17943,3,session_zscore,test
220,subj01,221,18269,3,session_zscore,test
221,subj01,222,18435,3,session_zscore,test
222,subj01,223,18484,3,session_zscore,test
223,subj01,224,18506,3,session_zscore,test
224,subj01,225,18536,3,session_zscore,test
225,subj01,226,18544,3,session_zscore,test
226,subj01,227,18691,3,session_zscore,test
227,subj01,228,18797,3,session_zscore,test
228,subj01,229,19075,3,session_zscore,test
229,subj01,230,19182,3,session_zscore,test
230,subj01,231,19200,3,session_zscore,test
231,subj01,232,19201,3,session_zscore,test
232,subj01,233,19293,3,session_zscore,test
233,subj01,234,19437,3,session_zscore,test
234,subj01,235,19574,3,session_zscore,test
235,subj01,236,19643,3,session_zscore,test
236,subj01,237,19673,3,session_zscore,test
237,subj01,238,19691,3,session_zscore,test
238,subj01,239,19934,3,session_zscore,test
239,subj01,240,20055,3,session_zscore,test
240,subj01,241,20065,3,session_zscore,test
241,subj01,242,20081,3,session_zscore,test
242,subj01,243,20207,3,session_zscore,test
243,subj01,244,20224,3,session_zscore,test
244,subj01,245,20266,3,session_zscore,test
245,subj01,246,20308,3,session_zscore,test
246,subj01,247,20443,3,session_zscore,test
247,subj01,248,20634,3,session_zscore,test
248,subj01,249,20651,3,session_zscore,test
249,subj01,250,20703,3,session_zscore,test
250,subj01,251,20739,3,session_zscore,test
251,subj01,252,20778,3,session_zscore,test
252,subj01,253,20821,3,session_zscore,test
253,subj01,254,21109,3,session_zscore,test
