voxel,x,y,z,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4
0,12,21,47,True,False,True,False,False,False,False
1,12,22,45,True,False,True,False,False,False,False
2,12,22,46,True,False,True,False,False,False,False
3,12,22,47,True,False,True,False,False,False,False
4,12,22,48,True,False,True,False,False,False,False
5,12,22,49,True,False,True,False,False,False,False
6,12,23,44,True,False,True,False,False,False,False
7,12,23,45,True,False,True,False,False,False,False
8,12,23,46,True,False,True,False,False,False,False
9,12,23,47,True,False,True,False,False,False,False
10,12,23,48,True,False,True,False,False,False,False
11,12,23,49,True,False,True,False,False,False,False
12,12,23,50,True,False,True,False,False,False,False
13,12,24,45,True,False,True,False,False,False,False
14,12,24,46,True,False,True,False,False,False,False
15,12,24,47,True,False,True,False,False,False,False
16,12,24,48,True,False,True,False,False,False,False
17,13,19,47,True,False,True,False,False,False,False
18,13,20,45,True,False,True,False,False,False,False
19,13,20,46,True,False,True,False,False,False,False
20,13,20,47,True,False,True,False,False,False,False
21,13,20,48,True,False,True,False,False,False,False
22,13,21,44,True,False,True,False,False,False,False
23,13,21,45,True,False,True,False,False,False,False
24,13,21,46,True,False,True,False,False,False,False
25,13,21,47,True,False,True,False,False,False,False
26,13,21,48,True,False,True,False,False,False,False
27,13,21,49,True,False,True,False,False,False,False
28,13,21,52,True,False,True,False,False,False,False
29,13,22,44,True,False,True,False,False,False,False
30,13,22,45,True,False,True,False,False,False,False
31,13,22,46,True,False,True,False,False,False,False
32,13,22,47,True,False,True,False,False,False,False
33,13,22,48,True,False,True,False,False,False,False
34,13,22,49,True,False,True,False,False,False,False
35,13,22,50,True,False,True,False,False,False,False
36,13,22,51,True,False,True,False,False,False,False
37,13,22,52,True,False,True,False,False,False,False
38,13,23,43,True,False,True,False,False,False,False
39,13,23,44,True,False,True,False,False,False,False
40,13,23,45,True,False,True,False,False,False,False
41,13,23,46,True,False,True,False,False,False,False
42,13,23,47,True,False,True,False,False,False,False
43,13,23,48,True,False,True,False,False,False,False
44,13,23,49,True,False,True,False,False,False,False
45,13,23,50,True,False,True,False,False,False,False
46,13,23,51,True,False,True,False,False,False,False
47,13,23,52,True,False,True,False,False,False,False
48,13,24,43,True,False,True,False,False,False,False
49,13,24,44,True,False,True,False,False,False,False
50,13,24,45,True,False,True,False,False,False,False
51,13,24,46,True,False,True,False,False,False,False
52,13,24,47,True,False,True,False,False,False,False
53,13,24,48,True,False,True,False,False,False,False
54,13,24,49,True,False,True,False,False,False,False
55,13,24,50,True,False,True,False,False,False,False
56,13,25,44,True,False,True,False,False,False,False
57,14,17,45,True,False,True,False,False,False,False
58,14,18,44,True,False,True,False,False,False,False
59,14,18,45,True,False,True,False,False,False,False
60,14,18,46,True,False,True,False,False,False,False
61,14,18,47,True,False,True,False,False,False,False
62,14,19,45,True,False,True,False,False,False,False
63,14,19,46,True,False,True,False,False,False,False
64,14,19,47,True,False,True,False,False,False,False
65,14,19,48,True,False,True,False,False,False,False
66,14,19,49,True,False,True,False,False,False,False
67,14,20,44,True,False,True,False,False,False,False
68,14,20,45,True,False,True,False,False,False,False
69,14,20,46,True,False,True,False,False,False,False
70,14,20,47,True,False,True,False,False,False,False
71,14,20,48,True,False,True,False,False,False,False
72,14,20,49,True,False,True,False,False,False,False
73,14,20,51,True,False,True,False,False,False,False
74,14,21,43,True,False,True,False,False,False,False
75,14,21,44,True,False,True,False,False,False,False
76,14,21,45,True,False,True,False,False,False,False
77,14,21,46,True,False,True,False,False,False,False
78,14,21,47,True,False,True,False,False,False,False
79,14,21,48,True,False,True,False,False,False,False
80,14,21,49,True,False,True,False,False,False,False
81,14,21,51,True,False,True,False,False,False,False
82,14,22,43,True,False,True,False,False,False,False
83,14,22,44,True,False,True,False,False,False,False
84,14,22,45,True,False,True,False,False,False,False
85,14,22,48,True,False,True,False,False,False,False
86,14,22,49,True,False,True,False,False,False,False
87,14,22,50,True,False,True,False,False,False,False
88,14,22,51,True,False,True,False,False,False,False
89,14,23,43,True,False,True,False,False,False,False
90,14,23,44,True,False,True,False,False,False,False
91,14,23,46,True,False,True,False,False,False,False
92,14,23,47,True,False,True,False,False,False,False
93,14,23,49,True,False,True,False,False,False,False
94,14,23,50,True,False,True,False,False,False,False
95,14,23,51,True,False,True,False,False,False,False
96,14,23,52,True,False,True,False,False,False,False
97,14,24,43,True,False,True,False,False,False,False
98,14,24,44,True,False,True,False,False,False,False
99,14,24,45,True,False,True,False,False,False,False
100,14,24,46,True,False,True,False,False,False,False
101,14,24,47,True,False,True,False,False,False,False
102,14,24,48,True,False,True,False,False,False,False
103,14,24,49,True,False,True,False,False,False,False
104,14,24,50,True,False,True,False,False,False,False
105,14,24,51,True,False,True,False,False,False,False
106,14,25,43,True,False,True,False,False,False,False
