method,subject,task,stimulus_set,target_number,sample,region,brain_correlation,n_voxels
DINOv2_PyramidRidge,subj01,vision,A,1,1,early_visual,0.26187742778180967,4657
DINOv2_PyramidRidge,subj01,vision,A,2,1,early_visual,0.08195226974556269,4657
DINOv2_PyramidRidge,subj01,vision,A,3,1,early_visual,0.49043937691188405,4657
DINOv2_PyramidRidge,subj01,vision,A,4,1,early_visual,0.1293072132661019,4657
DINOv2_PyramidRidge,subj01,vision,A,5,1,early_visual,-0.1469769019882968,4657
DINOv2_PyramidRidge,subj01,vision,A,6,1,early_visual,-0.14835714851292292,4657
DINOv2_PyramidRidge,subj01,vision,B,1,1,early_visual,0.38291779732163145,4657
DINOv2_PyramidRidge,subj01,vision,B,2,1,early_visual,0.5435491557338072,4657
DINOv2_PyramidRidge,subj01,vision,B,3,1,early_visual,0.46810882325520814,4657
DINOv2_PyramidRidge,subj01,vision,B,4,1,early_visual,0.33413682586892995,4657
DINOv2_PyramidRidge,subj01,vision,B,5,1,early_visual,0.27699764719220793,4657
DINOv2_PyramidRidge,subj01,vision,B,6,1,early_visual,0.4317733642661329,4657
DINOv2_PyramidRidge,subj01,vision,A,1,1,higher_visual,0.07212773871595114,11067
DINOv2_PyramidRidge,subj01,vision,A,2,1,higher_visual,-0.022465573126630046,11067
DINOv2_PyramidRidge,subj01,vision,A,3,1,higher_visual,0.14369494697167493,11067
DINOv2_PyramidRidge,subj01,vision,A,4,1,higher_visual,-0.06735879114232698,11067
DINOv2_PyramidRidge,subj01,vision,A,5,1,higher_visual,0.0829890834730186,11067
DINOv2_PyramidRidge,subj01,vision,A,6,1,higher_visual,0.08817923582601496,11067
DINOv2_PyramidRidge,subj01,vision,B,1,1,higher_visual,0.4434789039825161,11067
DINOv2_PyramidRidge,subj01,vision,B,2,1,higher_visual,0.43190533152886,11067
DINOv2_PyramidRidge,subj01,vision,B,3,1,higher_visual,0.1948921394244355,11067
DINOv2_PyramidRidge,subj01,vision,B,4,1,higher_visual,0.4712741230657068,11067
DINOv2_PyramidRidge,subj01,vision,B,5,1,higher_visual,0.38742629534608597,11067
DINOv2_PyramidRidge,subj01,vision,B,6,1,higher_visual,0.4611169720791237,11067
DINOv2_PyramidRidge,subj01,vision,A,1,1,visual_cortex,0.13902533460385877,15724
DINOv2_PyramidRidge,subj01,vision,A,2,1,visual_cortex,0.038851941595824516,15724
DINOv2_PyramidRidge,subj01,vision,A,3,1,visual_cortex,0.28922985286403974,15724
DINOv2_PyramidRidge,subj01,vision,A,4,1,visual_cortex,0.037330995498023926,15724
DINOv2_PyramidRidge,subj01,vision,A,5,1,visual_cortex,-0.03330649344775172,15724
DINOv2_PyramidRidge,subj01,vision,A,6,1,visual_cortex,-0.023016616906250006,15724
DINOv2_PyramidRidge,subj01,vision,B,1,1,visual_cortex,0.42851005344361703,15724
DINOv2_PyramidRidge,subj01,vision,B,2,1,visual_cortex,0.4725983820721001,15724
DINOv2_PyramidRidge,subj01,vision,B,3,1,visual_cortex,0.29422372159989657,15724
DINOv2_PyramidRidge,subj01,vision,B,4,1,visual_cortex,0.4404388857775864,15724
DINOv2_PyramidRidge,subj01,vision,B,5,1,visual_cortex,0.3616015095682686,15724
DINOv2_PyramidRidge,subj01,vision,B,6,1,visual_cortex,0.4781769060321597,15724
DINOv2_PyramidRidge,subj01,imagery,A,1,1,early_visual,0.2325448213399785,4657
DINOv2_PyramidRidge,subj01,imagery,A,2,1,early_visual,0.2836368283398385,4657
DINOv2_PyramidRidge,subj01,imagery,A,3,1,early_visual,0.0062306289537608734,4657
DINOv2_PyramidRidge,subj01,imagery,A,4,1,early_visual,0.4519151946776285,4657
DINOv2_PyramidRidge,subj01,imagery,A,5,1,early_visual,-0.28533874119380287,4657
DINOv2_PyramidRidge,subj01,imagery,A,6,1,early_visual,-0.21252621594258528,4657
DINOv2_PyramidRidge,subj01,imagery,B,1,1,early_visual,0.09027527725953169,4657
DINOv2_PyramidRidge,subj01,imagery,B,2,1,early_visual,0.10415964334152954,4657
DINOv2_PyramidRidge,subj01,imagery,B,3,1,early_visual,-0.019018162530212202,4657
DINOv2_PyramidRidge,subj01,imagery,B,4,1,early_visual,0.1005394821394677,4657
DINOv2_PyramidRidge,subj01,imagery,B,5,1,early_visual,0.16344979658135858,4657
DINOv2_PyramidRidge,subj01,imagery,B,6,1,early_visual,0.1275441569096948,4657
DINOv2_PyramidRidge,subj01,imagery,A,1,1,higher_visual,0.09809165496585637,11067
DINOv2_PyramidRidge,subj01,imagery,A,2,1,higher_visual,0.012986145445722855,11067
DINOv2_PyramidRidge,subj01,imagery,A,3,1,higher_visual,-0.028865589639495096,11067
DINOv2_PyramidRidge,subj01,imagery,A,4,1,higher_visual,-0.015234436890336754,11067
DINOv2_PyramidRidge,subj01,imagery,A,5,1,higher_visual,0.1910793737996771,11067
DINOv2_PyramidRidge,subj01,imagery,A,6,1,higher_visual,0.06330645641265348,11067
DINOv2_PyramidRidge,subj01,imagery,B,1,1,higher_visual,0.27152335438071623,11067
DINOv2_PyramidRidge,subj01,imagery,B,2,1,higher_visual,0.19616055912447347,11067
DINOv2_PyramidRidge,subj01,imagery,B,3,1,higher_visual,0.24810505406585562,11067
DINOv2_PyramidRidge,subj01,imagery,B,4,1,higher_visual,0.15370954285099192,11067
DINOv2_PyramidRidge,subj01,imagery,B,5,1,higher_visual,0.3216519998953059,11067
DINOv2_PyramidRidge,subj01,imagery,B,6,1,higher_visual,0.1964511683262458,11067
DINOv2_PyramidRidge,subj01,imagery,A,1,1,visual_cortex,0.11066260383163652,15724
DINOv2_PyramidRidge,subj01,imagery,A,2,1,visual_cortex,0.12769908652279888,15724
DINOv2_PyramidRidge,subj01,imagery,A,3,1,visual_cortex,-0.04543064047042069,15724
DINOv2_PyramidRidge,subj01,imagery,A,4,1,visual_cortex,0.20200343357173567,15724
DINOv2_PyramidRidge,subj01,imagery,A,5,1,visual_cortex,0.02090143691628592,15724
DINOv2_PyramidRidge,subj01,imagery,A,6,1,visual_cortex,-0.027811469869395516,15724
DINOv2_PyramidRidge,subj01,imagery,B,1,1,visual_cortex,0.23736964930457805,15724
DINOv2_PyramidRidge,subj01,imagery,B,2,1,visual_cortex,0.15040875335817266,15724
DINOv2_PyramidRidge,subj01,imagery,B,3,1,visual_cortex,0.17736644478307875,15724
DINOv2_PyramidRidge,subj01,imagery,B,4,1,visual_cortex,0.1492397397112251,15724
DINOv2_PyramidRidge,subj01,imagery,B,5,1,visual_cortex,0.28870072792816526,15724
DINOv2_PyramidRidge,subj01,imagery,B,6,1,visual_cortex,0.1958892562919325,15724
