voxel,x,y,z,vision_target_correlation,vision_target_r2,vision_tuning_r2,visual_cortex,early_visual,higher_visual,V1,V2,V3,V4,imagery_target_correlation,imagery_target_r2,imagery_tuning_r2,vision_minus_imagery_target_r2,vision_minus_imagery_target_correlation
0,12,21,47,-0.04661118908090666,-0.816720512314322,0.0021726029475360323,True,False,True,False,False,False,False,0.5351173599222369,-0.459390866836362,0.2863505888901448,-0.35732964547796,-0.5817285490031435
1,12,22,45,0.19832108713073487,-5.062077940316763,0.039331253600716536,True,False,True,False,False,False,False,-0.0316284643573276,-6.842429478154467,0.0010003597576027424,1.7803515378377046,0.22994955148806248
2,12,22,46,-0.42425325204927344,-4.154886039910873,0.17999082187438434,True,False,True,False,False,False,False,-0.29361364115311317,-3.7305608304977937,0.08620897027118911,-0.4243252094130794,-0.13063961089616027
3,12,22,47,-0.06330495477089433,-5.19500257739063,0.004007517298544977,True,False,True,False,False,False,False,-0.122901657770446,-6.7956961515207155,0.01510481748272383,1.6006935741300854,0.059596702999551665
4,12,22,48,0.26189398693077515,-2.7998560878845655,0.06858846039049703,True,False,True,False,False,False,False,0.006724238481585071,-10.051979530016776,4.52153831572295e-05,7.252123442132211,0.25516974844919005
5,12,22,49,0.26767307338496665,-0.5563605140634598,0.07164887421535375,True,False,True,False,False,False,False,0.44973401018391307,-0.7654361678513741,0.20226067991610402,0.20907565378791437,-0.18206093679894642
6,12,23,44,0.06186024706367845,-4.039907423627357,0.0038266901667793384,True,False,True,False,False,False,False,0.07755478364357843,-7.191386843499265,0.00601474446600226,3.151479419871908,-0.015694536579899977
7,12,23,45,0.04824468519357486,-3.521303912059345,0.0023275496494271413,True,False,True,False,False,False,False,0.03445543432113483,-3.688022966791685,0.0011871769542580357,0.16671905473234006,0.013789250872440033
8,12,23,46,0.22704734219560835,-4.053273826277353,0.05155049559808968,True,False,True,False,False,False,False,-0.05909825947612029,-4.380929337270578,0.0034926042731068417,0.32765551099322465,0.28614560167172864
9,12,23,47,0.2759880551095562,-3.8945884435744818,0.07616940656315543,True,False,True,False,False,False,False,0.1696025014016511,-7.084300981146196,0.02876500848169706,3.1897125375717144,0.10638555370790512
10,12,23,48,0.17799212008089813,-12.679463490986672,0.031681194810892856,True,False,True,False,False,False,False,0.28969237276580956,-11.765266252582483,0.08392167083868476,-0.9141972384041885,-0.11170025268491143
11,12,23,49,0.1838282289609564,-1.4528824502408502,0.03379281776292181,True,False,True,False,False,False,False,0.3100554588863678,-1.4672375381880958,0.09613438758523613,0.014355087947245604,-0.1262272299254114
12,12,23,50,0.350265739109393,-0.5283074951839919,0.12268608799384938,True,False,True,False,False,False,False,-0.007164510573180594,-1.7710638987360827,5.133021175321652e-05,1.2427564035520908,0.3574302496825736
13,12,24,45,-0.029742932345690993,-7.419312791919097,0.0008846420245203515,True,False,True,False,False,False,False,0.22814741317235784,-4.845732658677328,0.05205124213723856,-2.5735801332417694,-0.25789034551804885
14,12,24,46,0.193563679784902,-2.3602231982789608,0.037466898131872074,True,False,True,False,False,False,False,0.07186485579969606,-10.887057794738453,0.005164557499111109,8.526834596459492,0.12169882398520593
15,12,24,47,-0.4611256592529441,-0.982282908467766,0.21263687362146227,True,False,True,False,False,False,False,-0.019734633626616913,-0.9578826066110793,0.000389455764376799,-0.024400301856686735,-0.44139102562632715
16,12,24,48,-0.01744933496748777,-2.4878237531606624,0.00030447929080759146,True,False,True,False,False,False,False,-0.14512098081666877,-4.673232880179446,0.021060099073191944,2.185409127018784,0.127671645849181
17,13,19,47,-0.06873005792485277,-0.8770798622122582,0.0047238208623536174,True,False,True,False,False,False,False,-0.09380030268555448,-1.480125203324267,0.008798496783901637,0.6030453411120087,0.0250702447607017
18,13,20,45,0.16807669491225055,-2.439069554593172,0.02824977537262575,True,False,True,False,False,False,False,0.296688484803831,-42.20908666390819,0.08802405701519304,39.77001710931501,-0.12861178989158042
19,13,20,46,0.040744829499334466,-2.44677478938948,0.0016601411309298362,True,False,True,False,False,False,False,0.015429472503731136,-9.067322929661486,0.00023806862174339518,6.620548140272007,0.02531535699560333
20,13,20,47,0.0043072717625029944,-4.337857561101965,1.8552590036055653e-05,True,False,True,False,False,False,False,-0.29570212587293754,-6.367956789124085,0.0874397472457746,2.0300992280221193,0.30000939763544054
21,13,20,48,0.30247697093308223,-0.5045629372375053,0.09149231794485267,True,False,True,False,False,False,False,-0.5849877596335397,-4.93666712405835,0.342210678921068,4.432104186820845,0.8874647305666219
22,13,21,44,0.10538118578721944,-3.082134914766675,0.011105194317920461,True,False,True,False,False,False,False,0.05641773635793564,-9.214637621728704,0.0031829609757535334,6.132502706962029,0.0489634494292838
23,13,21,45,0.26447954552776337,-1.4271804895905293,0.06994943000257225,True,False,True,False,False,False,False,-0.07855604491797318,-4.908567210375901,0.006171052193154619,3.481386720785372,0.34303559044573656
24,13,21,46,0.19845533277924463,-2.6795005763665687,0.03938451910852073,True,False,True,False,False,False,False,0.05212300993607357,-5.649764128698752,0.0027168081647960243,2.9702635523321836,0.14633232284317105
25,13,21,47,0.23471405749386648,-2.74052527967824,0.05509068878523406,True,False,True,False,False,False,False,0.10155570140520913,-9.101990462603377,0.010313560487903996,6.361465182925137,0.13315835608865734
26,13,21,48,0.47881069207785604,-1.3755021557575762,0.22925967884807547,True,False,True,False,False,False,False,0.35520828610211974,-3.369632797666438,0.12617292651560535,1.9941306419088618,0.1236024059757363
27,13,21,49,0.6493831259258823,-1.5522184931759835,0.4216984442372703,True,False,True,False,False,False,False,0.374815222153914,-2.8952343707841592,0.1404864507582879,1.3430158776081758,0.2745679037719683
28,13,21,52,0.18396004960157372,-0.2705050303488086,0.03384129984941346,True,False,True,False,False,False,False,0.07827260558728989,-3.7175884726060353,0.006126600785423445,3.4470834422572265,0.10568744401428383
29,13,22,44,-0.022323683861207807,-1.6690546946471323,0.0004983468611351499,True,False,True,False,False,False,False,-0.09492645725935944,-5.318573922785216,0.009011032287812994,3.6495192281380837,0.07260277339815163
30,13,22,45,-0.05782712751635543,-0.7332437123179742,0.0033439766767928312,True,False,True,False,False,False,False,-0.1336947005865461,-8.566914375311402,0.01787427296492621,7.833670662993428,0.07586757307019065
31,13,22,46,-0.24275894110718152,-0.6818205097887957,0.05893190348748002,True,False,True,False,False,False,False,0.6581089401878031,0.27464399222506175,0.4331073771551134,-0.9564645020138575,-0.9008678812949846
32,13,22,47,0.1355080204770418,-5.369926625643492,0.01836242361360638,True,False,True,False,False,False,False,0.13561505580048847,-4.12693517727878,0.0183914433597696,-1.2429914483647124,-0.00010703532344666367
33,13,22,48,0.36837895473057175,-2.23330947400755,0.13570305428838864,True,False,True,False,False,False,False,0.37095779063492695,-3.5923426986494746,0.1376096824327463,1.3590332246419248,-0.0025788359043552034
34,13,22,49,0.7562420139729571,0.20584511482830703,0.5719019836978743,True,False,True,False,False,False,False,-0.03967534360919807,-2.7953640410642167,0.001574132890507934,3.0012091558925236,0.7959173575821552
35,13,22,50,0.5669353967345151,-2.419732866005376,0.32141574407052204,True,False,True,False,False,False,False,0.39204520810187143,-3.238048722072345,0.1536994451956397,0.818315856066969,0.17489018863264366
36,13,22,51,0.5908704138291475,-1.3348545908138454,0.34912784593862806,True,False,True,False,False,False,False,0.5723778048863656,-1.3824671388197807,0.3276163515265344,0.047612548005935285,0.01849260894278193
37,13,22,52,-0.12471746065726054,-5.54787831135738,0.015554444992795331,True,False,True,False,False,False,False,-0.17140786653845408,-8.000455189585407,0.029380656711264486,2.4525768782280277,0.04669040588119354
38,13,23,43,-0.2701577202111834,-0.7937120452856563,0.07298519378970404,True,False,True,False,False,False,False,0.21384024016616518,-1.0506162246867183,0.0457276483143232,0.256904179401062,-0.48399796037734855
39,13,23,44,0.007112572679976303,-1.2441324174077897,5.058869012794529e-05,True,False,True,False,False,False,False,0.010110209832959679,-2.10559241674915,0.00010221634286647458,0.8614599993413603,-0.002997637152983376
40,13,23,45,-0.7496541795516857,-0.4757164405468688,0.5619813889193109,True,False,True,False,False,False,False,0.22984052899596316,-0.6264737132590792,0.052826668769144186,0.1507572727122104,-0.9794947085476489
41,13,23,46,-0.1925997730341767,-0.4591536511697447,0.03709467257281637,True,False,True,False,False,False,False,-0.23662506852639428,-0.9334297099361548,0.05599142305512079,0.4742760587664101,0.04402529549221759
42,13,23,47,0.04139566258308237,-3.2785756279288254,0.0017136008806924055,True,False,True,False,False,False,False,0.28359538294312636,-1.3603121863056704,0.08042634122665848,-1.918263441623155,-0.242199720360044
43,13,23,48,-0.23913469520757127,-0.9549083176218278,0.05718540245201801,True,False,True,False,False,False,False,0.5665635575913013,0.060820540433098924,0.32099426479051174,-1.0157288580549269,-0.8056982527988725
44,13,23,49,0.3433592539672271,-0.42607025589769765,0.11789557728493076,True,False,True,False,False,False,False,0.3754501318272428,-0.975565897238575,0.140962801489094,0.5494956413408774,-0.03209087786001569
45,13,23,50,0.6249594460738727,0.3658252424385475,0.39057430923696174,True,False,True,False,False,False,False,-0.010066106813849769,-1.212446688856061,0.00010132650638783275,1.5782719312946085,0.6350255528877224
46,13,23,51,0.16528608582852522,-1.4341381296526934,0.027319490168514607,True,False,True,False,False,False,False,0.3175959715526809,-0.6715865603238707,0.10086720114649128,-0.7625515693288227,-0.15230988572415566
47,13,23,52,-0.17406406192171317,-5.572839347411972,0.030298297652685997,True,False,True,False,False,False,False,0.2282199639746322,-9.06492961955605,0.052084351956582425,3.492090272144078,-0.4022840258963454
48,13,24,43,0.2080859972751346,-1.6246504321195627,0.04329978226198732,True,False,True,False,False,False,False,0.015268354314443058,-1.693715088717597,0.00023312264347137194,0.06906465659803418,0.19281764296069154
49,13,24,44,0.17999888330901526,-11.827004671841156,0.03239959799249249,True,False,True,False,False,False,False,-0.005660167371727036,-11.846243287828509,3.2037494675963344e-05,0.019238615987353214,0.1856590506807423
50,13,24,45,-0.057791071753055374,-4.91224955778431,0.003339807974366795,True,False,True,False,False,False,False,0.26699261105561506,-9.31426218762298,0.07128505435829494,4.402012629838669,-0.3247836828086704
51,13,24,46,-0.12226439358773786,-1.019484590094899,0.014948581939377275,True,False,True,False,False,False,False,-0.2225414229014365,-2.477678882071388,0.049524684906996005,1.458194291976489,0.10027702931369864
52,13,24,47,-0.12465300126272057,-1.1004717223352065,0.015538370723803815,True,False,True,False,False,False,False,0.16635097834539458,-2.6307591334400984,0.02767264799646994,1.5302874111048919,-0.29100397960811514
53,13,24,48,0.14613881890704083,-0.2527845890906424,0.021356554391544876,True,False,True,False,False,False,False,0.09842861283996852,-0.9309612306293575,0.009688191825600417,0.6781766415387152,0.04771020606707231
54,13,24,49,0.41752427638798084,-0.8286032401374563,0.174326521373307,True,False,True,False,False,False,False,-0.3069690203116287,-2.7332001537416706,0.09422997943108112,1.9045969136042142,0.7244932966996096
55,13,24,50,-0.2809037803325049,-3.1919241124046405,0.07890693380509217,True,False,True,False,False,False,False,0.1360397978211844,-1.0825199376001748,0.018506826591228726,-2.1094041748044656,-0.4169435781536893
56,13,25,44,0.10352869204300376,-5.0071566986495135,0.01071819007613511,True,False,True,False,False,False,False,0.3824907433035059,-16.19744680707011,0.14629916871286844,11.190290108420598,-0.27896205126050216
57,14,17,45,0.2866505409177302,-0.673724161316382,0.0821685326084273,True,False,True,False,False,False,False,-0.2629349523548104,-2.7002232819399996,0.06913478916982642,2.0264991206236176,0.5495854932725406
58,14,18,44,0.36422488538885317,-1.8022346308295591,0.13265976713652322,True,False,True,False,False,False,False,0.04453673963304815,-9.494322731876503,0.0019835211771419216,7.692088101046943,0.319688145755805
59,14,18,45,0.16762885177306613,-5.503648463136055,0.028099431946756577,True,False,True,False,False,False,False,-0.02728048127526227,-23.055290075984516,0.0007442246586099353,17.55164161284846,0.19490933304832841
60,14,18,46,0.18513082245304158,-3.725332730732527,0.034273421422139606,True,False,True,False,False,False,False,-0.1501771121745183,-7.515491688646048,0.02255316502107785,3.790158957913521,0.33530793462755987
61,14,18,47,0.19258515295696235,-2.631632440711293,0.03708904113945659,True,False,True,False,False,False,False,0.20783173747322384,-6.063461973366682,0.043194031101139035,3.4318295326553887,-0.015246584516261485
62,14,19,45,0.1877492860311545,-2.8732528523983403,0.03524979440520827,True,False,True,False,False,False,False,0.03015243003276424,-9.252314823786225,0.000909169036880743,6.379061971387885,0.15759685599839027
63,14,19,46,0.13792446586822246,-2.193268701049213,0.019023158285034463,True,False,True,False,False,False,False,0.32832991835089564,-9.77768350137063,0.1078005352843058,7.584414800321417,-0.19040545248267318
64,14,19,47,0.0847307096717219,-1.9803492640084541,0.007179293161473628,True,False,True,False,False,False,False,0.022277361513539425,-8.547325284923271,0.0004962808360049276,6.566976020914817,0.06245334815818247
65,14,19,48,0.041525263525973556,-2.690560381954796,0.0017243475109015498,True,False,True,False,False,False,False,0.12351625144569149,-3.84776647350803,0.015256264371195285,1.1572060915532343,-0.08199098791971793
66,14,19,49,0.2349026498403479,-2.8971074623604185,0.0551792549020171,True,False,True,False,False,False,False,0.22591271314443584,-3.826053470920117,0.05103655396028015,0.9289460085596986,0.008989936695912054
67,14,20,44,0.11768260569575531,-4.177490953338432,0.01384919568334262,True,False,True,False,False,False,False,0.32541188310510805,-6.5439866097987505,0.1058928936660125,2.3664956564603186,-0.20772927740935274
68,14,20,45,0.1353234071532498,-2.1831757066613684,0.01831242452356422,True,False,True,False,False,False,False,0.06585331241273543,-9.082538482512868,0.0043366587557293335,6.8993627758515,0.06947009474051438
69,14,20,46,0.25372145202924196,-0.9284371516358949,0.06437457521982692,True,False,True,False,False,False,False,0.31449011928616927,-4.298821637567507,0.09890403512862897,3.370384485931612,-0.06076866725692731
70,14,20,47,0.10532984232306365,-1.349724096423142,0.011094375683801451,True,False,True,False,False,False,False,-0.09317166782969422,-4.297976304891768,0.008680959686166875,2.948252208468626,0.19850151015275785
71,14,20,48,-0.09883921643745723,-3.2642138892147887,0.009769190705970515,True,False,True,False,False,False,False,0.1381926936826788,-6.329947223194338,0.019097220587274696,3.0657333339795496,-0.23703191012013602
72,14,20,49,0.340713184540302,-2.6923234679562826,0.1160854741195939,True,False,True,False,False,False,False,0.2793340008857039,-3.4598921930721875,0.07802748405081444,0.7675687251159049,0.0613791836545981
73,14,20,51,0.2607568917312582,-1.983237007437935,0.06799415658534712,True,False,True,False,False,False,False,0.27931335890499004,-5.391018680607943,0.07801595246278778,3.407781673170008,-0.018556467173731828
74,14,21,43,-0.06900163685717046,-3.0725122220392516,0.004761225888968826,True,False,True,False,False,False,False,0.1225173063721754,-6.544012011947627,0.015010490360693489,3.4714997899083757,-0.19151894322934587
75,14,21,44,-0.09275975950920658,-1.5586102647968811,0.008604372984205839,True,False,True,False,False,False,False,0.3370144182656461,-2.7222508080461654,0.11357871811893186,1.1636405432492842,-0.42977417777485266
76,14,21,45,0.11495959593117568,-1.0130821085404578,0.013215708696659183,True,False,True,False,False,False,False,0.1741212181476939,-5.483145313387555,0.03031819860923681,4.470063204847097,-0.05916162221651823
