subject,task,kernel,held_out_stimulus_set,held_out_target_number,alpha,gamma_scale,inner_mean_voxel_correlation,inner_mean_voxel_r2
subj01,vision,linear,A,1,0.01,1.0,-0.18574758478348694,-0.81269097232094
subj01,vision,linear,A,2,0.01,1.0,-0.23453796470633642,-0.740795976421456
subj01,vision,linear,A,3,0.01,1.0,-0.2002967236945243,-0.7484567082119841
subj01,vision,linear,A,4,0.01,1.0,-0.1864589560280147,-0.67995182859241
subj01,vision,linear,A,5,0.01,1.0,-0.2359371306367571,-0.5477149465846319
subj01,vision,linear,A,6,0.01,1.0,-0.3289681979516903,-0.5890667751949266
subj01,vision,linear,B,1,0.01,1.0,-0.1434303028453728,-0.8581113713519384
subj01,vision,linear,B,2,0.01,1.0,-0.17106966392557774,-0.869301474316212
subj01,vision,linear,B,3,0.01,1.0,-0.15955655822164186,-0.8490788721850777
subj01,vision,linear,B,4,0.01,1.0,-0.12168156161146979,-0.8894647344414575
subj01,vision,linear,B,5,0.01,1.0,-0.16314615820568065,-0.8917634166417917
subj01,vision,linear,B,6,0.01,1.0,-0.1754964544067042,-0.8694633610787281
subj01,vision,rbf,A,1,0.01,1.0,-0.2559226046137754,-0.6567428057717074
subj01,vision,rbf,A,2,0.01,1.0,-0.2923337158268749,-0.6389307929077748
subj01,vision,rbf,A,3,0.01,1.0,-0.290376427027533,-0.6205349673216978
subj01,vision,rbf,A,4,0.01,1.0,-0.26703905320467,-0.550234692315859
subj01,vision,rbf,A,5,0.01,1.0,-0.3159562986470403,-0.4736440223332607
subj01,vision,rbf,A,6,0.01,0.25,-0.44069984749499097,-0.5056498645398618
subj01,vision,rbf,B,1,0.01,1.0,-0.22538453736166114,-0.668317512473018
subj01,vision,rbf,B,2,0.01,1.0,-0.2402746977008243,-0.6598403783803373
subj01,vision,rbf,B,3,0.01,1.0,-0.23529870417123766,-0.659989504772976
subj01,vision,rbf,B,4,0.01,1.0,-0.2059454136180125,-0.65612668961927
subj01,vision,rbf,B,5,0.01,1.0,-0.25398345779483134,-0.6762676996888385
subj01,vision,rbf,B,6,0.01,1.0,-0.2574615300591633,-0.6795187568441748
subj01,imagery,linear,A,1,0.01,1.0,-0.13777342129882544,-0.7079482531176913
subj01,imagery,linear,A,2,0.01,1.0,-0.2051299315760947,-0.6240140804386991
subj01,imagery,linear,A,3,0.01,1.0,-0.18139323504430804,-0.6909055417334444
subj01,imagery,linear,A,4,0.01,1.0,-0.19510878994144779,-0.6628375111201149
subj01,imagery,linear,A,5,0.01,1.0,-0.300449952624474,-0.6796565889906463
subj01,imagery,linear,A,6,0.01,1.0,-0.339252094928328,-0.6258811236032217
subj01,imagery,linear,B,1,0.01,1.0,-0.09965827959006184,-0.7201808485097434
subj01,imagery,linear,B,2,0.01,1.0,-0.07042260626711858,-0.6727092594174375
subj01,imagery,linear,B,3,0.01,1.0,-0.10362186557987511,-0.7315813149726199
subj01,imagery,linear,B,4,0.01,1.0,-0.09605376859135595,-0.7605559806772642
subj01,imagery,linear,B,5,0.01,1.0,-0.09822104448458596,-0.7433104853383896
subj01,imagery,linear,B,6,0.01,1.0,-0.14497683644006373,-0.7615808146256744
subj01,imagery,rbf,A,1,0.01,1.0,-0.2324076474944796,-0.5887764151280953
subj01,imagery,rbf,A,2,0.01,1.0,-0.24642939233234903,-0.5184498019472336
subj01,imagery,rbf,A,3,0.01,1.0,-0.2675386114436493,-0.5644878856677833
subj01,imagery,rbf,A,4,0.01,1.0,-0.2728796833119773,-0.5437154469362394
subj01,imagery,rbf,A,5,0.01,1.0,-0.38458283555312445,-0.5938379371833933
subj01,imagery,rbf,A,6,0.01,1.0,-0.4369006320374054,-0.5269471564287268
subj01,imagery,rbf,B,1,0.01,1.0,-0.1802092353513761,-0.5637478172037246
subj01,imagery,rbf,B,2,0.01,1.0,-0.17197248320505995,-0.5527549249738835
subj01,imagery,rbf,B,3,0.01,1.0,-0.17448713717706585,-0.570010431937983
subj01,imagery,rbf,B,4,0.01,1.0,-0.1759635588295074,-0.57109861545163
subj01,imagery,rbf,B,5,0.01,1.0,-0.18519262420380123,-0.5676557012552181
subj01,imagery,rbf,B,6,0.01,1.0,-0.21044575756850922,-0.5910136504702205
