method,subject,task,stimulus_sets,region,n_targets,n_voxels,cv_unit,outer_cv,mean_voxel_target_correlation,median_voxel_target_correlation,fraction_positive_target_correlation,mean_voxel_target_r2,median_voxel_target_r2,fraction_positive_target_r2,mean_spearman_brown_reliability,median_spearman_brown_reliability
DirectLinearKRR,subj01,vision,A+B,visual_cortex,12,15724,target_identity,leave_one_target_out,-0.15537489431254803,-0.19859885501000168,0.3032943271432206,-0.8006930794530527,-0.5972672783323738,0.12127957262783007,-0.20573536356978264,0.12000186050018814
DirectLinearKRR,subj01,vision,A+B,early_visual,12,4657,target_identity,leave_one_target_out,-0.04729055828830469,-0.0714109534671758,0.4288168348722353,-0.6071782787157047,-0.4141283770472559,0.18939231264762724,0.10705229741467553,0.4108288863414296
DirectLinearKRR,subj01,vision,A+B,higher_visual,12,11067,target_identity,leave_one_target_out,-0.20085684541627094,-0.25028043410230744,0.2504743833017078,-0.882124219512132,-0.6778008378668112,0.0926176922381856,-0.337356592195844,0.012186876035583646
DirectLinearKRR,subj01,vision,A+B,V1,12,1350,target_identity,leave_one_target_out,0.023281105645573105,0.016121539512819194,0.5111111111111111,-0.47604468679649087,-0.31774933229466873,0.23407407407407407,0.3652836169448291,0.6099057316143182
DirectLinearKRR,subj01,vision,A+B,V2,12,1433,target_identity,leave_one_target_out,-0.05677406819457395,-0.08281111379809764,0.4263782274947662,-0.6179796670222182,-0.4154801638988215,0.18632240055826937,0.1043348278875351,0.4107409822595471
DirectLinearKRR,subj01,vision,A+B,V3,12,1187,target_identity,leave_one_target_out,-0.10421471196502498,-0.13310418691084824,0.35804549283909015,-0.6984677956040662,-0.5174807661921921,0.13816343723673125,-0.002517713828657971,0.3083495544350032
DirectLinearKRR,subj01,vision,A+B,V4,12,687,target_identity,leave_one_target_out,-0.06783336207401676,-0.10322997332475974,0.39446870451237265,-0.6846037563011774,-0.448072885406678,0.1965065502183406,-0.2054055543866027,0.1145811798366619
DirectRBFKRR,subj01,vision,A+B,visual_cortex,12,15724,target_identity,leave_one_target_out,-0.26463983051558376,-0.3222175161609253,0.21387687611294837,-0.5842027421464268,-0.47774489243557905,0.09660391757822437,-0.20573536356978264,0.12000186050018814
DirectRBFKRR,subj01,vision,A+B,early_visual,12,4657,target_identity,leave_one_target_out,-0.15327198933985628,-0.18673970419099173,0.32703457161262617,-0.4355840600497552,-0.34710272276553655,0.16276572901009234,0.10705229741467553,0.4108288863414296
DirectRBFKRR,subj01,vision,A+B,higher_visual,12,11067,target_identity,leave_one_target_out,-0.31150348248588855,-0.37046714635542655,0.16626005240806,-0.6467415695182709,-0.533047597211245,0.06876298906659438,-0.337356592195844,0.012186876035583646
DirectRBFKRR,subj01,vision,A+B,V1,12,1350,target_identity,leave_one_target_out,-0.0719004998201897,-0.08806743167318669,0.4103703703703704,-0.3329955499055962,-0.2645613711200281,0.22148148148148147,0.3652836169448291,0.6099057316143182
DirectRBFKRR,subj01,vision,A+B,V2,12,1433,target_identity,leave_one_target_out,-0.15550157892609223,-0.19130673908580664,0.33984647592463363,-0.4405954608972874,-0.3429511661687257,0.16678297278436846,0.1043348278875351,0.4107409822595471
DirectRBFKRR,subj01,vision,A+B,V3,12,1187,target_identity,leave_one_target_out,-0.22223854872438595,-0.2697913881700445,0.2443133951137321,-0.5112447396688156,-0.43466835245782565,0.10446503791069923,-0.002517713828657971,0.3083495544350032
