subject,phase,n_components,alpha,mean_cv_r2,median_cv_r2,selected
1,pilot,4,0.1,0.5115913381944507,0.5161882977818455,False
1,pilot,4,1.0,0.5155558643618333,0.5244514260952573,False
1,pilot,4,10.0,0.5216675032560126,0.5065647816785042,False
1,pilot,4,100.0,0.2861584078828847,0.2650921812026829,False
1,pilot,8,0.1,0.5788609058872223,0.5739356456041949,False
1,pilot,8,1.0,0.5856555027960216,0.5800897273787833,False
1,pilot,8,10.0,0.6071859366578658,0.5964094731950881,False
1,pilot,8,100.0,0.3450080082984601,0.3418617527739786,False
1,pilot,16,0.1,0.7077750705236266,0.706518423928538,False
1,pilot,16,1.0,0.71357814393878,0.7141969632615757,False
1,pilot,16,10.0,0.724048012349135,0.7354349234412629,True
1,pilot,16,100.0,0.3988189923468002,0.40415600353111447,False
2,validation,4,0.1,0.6374934098206574,0.6489600390084727,False
2,validation,4,1.0,0.6441434740956182,0.6545723099373467,False
2,validation,4,10.0,0.6625831509386472,0.666016943994949,True
2,validation,4,100.0,0.3722989500497242,0.3668896375293144,False
2,validation,8,0.1,0.5879494244012304,0.5876117506245118,False
2,validation,8,1.0,0.5954013352544579,0.5928641364552039,False
2,validation,8,10.0,0.6207554790878834,0.6128752340198017,False
2,validation,8,100.0,0.35548634098228665,0.3657101311148374,False
2,validation,16,0.1,0.5418396730185284,0.5581534323942615,False
2,validation,16,1.0,0.551376308619918,0.5700800691341019,False
2,validation,16,10.0,0.5916384534094096,0.6166613621812655,False
2,validation,16,100.0,0.35214234537949524,0.3513176188517095,False
3,validation,4,0.1,0.47829556438390747,0.4684108845701026,False
3,validation,4,1.0,0.4856026318580076,0.4803143166026465,False
3,validation,4,10.0,0.514109080734411,0.5382838516494771,False
3,validation,4,100.0,0.3006310657599711,0.33520450053047135,False
3,validation,8,0.1,0.6021407417277674,0.5822259750642598,False
3,validation,8,1.0,0.6080300995938338,0.5877696225454203,False
3,validation,8,10.0,0.6229662137622634,0.6012563212909156,False
3,validation,8,100.0,0.3480502602439728,0.3400627129201125,False
3,validation,16,0.1,0.6308867430276793,0.6301156788122478,False
3,validation,16,1.0,0.6387490758020072,0.6387469959098013,False
3,validation,16,10.0,0.6651079208804086,0.6700023401761668,True
3,validation,16,100.0,0.38021738448011777,0.3801935806888775,False
4,validation,4,0.1,0.5208701434083495,0.5268051521469244,False
4,validation,4,1.0,0.5258809698171011,0.528203556407038,False
4,validation,4,10.0,0.5382716490378147,0.517506349948553,False
4,validation,4,100.0,0.3003052122387095,0.28978740219569804,False
4,validation,8,0.1,0.5198319563374171,0.508968971749888,False
4,validation,8,1.0,0.525805937971702,0.5161332528467677,False
4,validation,8,10.0,0.5443321851811294,0.5425975481439604,False
