subject,phase,stimulus_set,comparison,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
1,pilot,A,same_visual,visual_streams,visual_streams,0.02142857142857143,-0.05714285714285713,0.5,-0.07878787878787878,0.02424242424242424,0.309090909090909
1,pilot,B,same_visual,visual_streams,visual_streams,0.6071428571428571,-0.1857142857142857,0.018055555555555554,0.5151515151515151,0.5696969696969696,0.6727272727272726
2,validation,A,same_visual,visual_streams,visual_streams,0.5071428571428571,0.21428571428571427,0.05555555555555555,0.22424242424242422,0.5818181818181818,0.6484848484848483
2,validation,B,same_visual,visual_streams,visual_streams,0.7535714285714286,0.27499999999999997,0.001388888888888889,0.6121212121212121,0.7575757575757575,0.7939393939393938
3,validation,A,same_visual,visual_streams,visual_streams,0.5142857142857142,0.27499999999999997,0.04722222222222222,0.32121212121212117,0.5272727272727272,0.6
3,validation,B,same_visual,visual_streams,visual_streams,-0.09285714285714286,-0.11428571428571425,0.6041666666666666,-0.8303030303030302,0.00606060606060606,0.2727272727272727
4,validation,A,same_visual,visual_streams,visual_streams,0.425,-0.28928571428571426,0.09861111111111111,0.2121212121212121,0.406060606060606,0.7575757575757575
4,validation,B,same_visual,visual_streams,visual_streams,0.42142857142857143,0.16785714285714282,0.10694444444444444,0.2727272727272727,0.43030303030303024,0.5757575757575757
5,validation,A,same_visual,visual_streams,visual_streams,0.6071428571428571,-0.06428571428571428,0.029166666666666667,0.3939393939393939,0.5636363636363635,0.8424242424242423
5,validation,B,same_visual,visual_streams,visual_streams,0.5,0.22499999999999998,0.05555555555555555,0.2121212121212121,0.4787878787878787,0.7696969696969697
6,validation,A,same_visual,visual_streams,visual_streams,0.23214285714285715,-0.05714285714285713,0.24027777777777778,-0.006060606060606061,0.17575757575757575,0.5272727272727272
6,validation,B,same_visual,visual_streams,visual_streams,0.6714285714285714,0.47142857142857136,0.02638888888888889,0.5393939393939393,0.5818181818181818,0.8181818181818182
7,validation,A,same_visual,visual_streams,visual_streams,0.26785714285714285,-0.4892857142857142,0.1986111111111111,0.05454545454545454,0.2121212121212121,0.5030303030303029
7,validation,B,same_visual,visual_streams,visual_streams,0.42857142857142855,-0.07857142857142857,0.07083333333333333,0.006060606060606061,0.4424242424242424,0.7454545454545454
8,validation,A,same_visual,visual_streams,visual_streams,0.8035714285714286,0.3,0.001388888888888889,0.7333333333333332,0.7939393939393938,0.9030303030303028
8,validation,B,same_visual,visual_streams,visual_streams,0.2571428571428571,-0.46071428571428563,0.21944444444444444,0.06666666666666665,0.26060606060606056,0.49090909090909085
1,pilot,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.15357142857142858,-0.035714285714285705,0.36944444444444446,-0.05454545454545454,0.13939393939393938,0.43030303030303024
1,pilot,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.5571428571428572,-0.27499999999999997,0.027777777777777776,0.29696969696969694,0.5272727272727272,0.8060606060606059
2,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.34285714285714286,0.1357142857142857,0.15416666666666667,0.19999999999999998,0.35757575757575755,0.4787878787878787
2,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.6678571428571428,0.6392857142857141,0.008333333333333333,0.43030303030303024,0.709090909090909,0.8181818181818182
3,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.525,0.41785714285714276,0.03194444444444444,0.17575757575757575,0.5272727272727272,0.7212121212121211
3,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,-0.02857142857142857,0.0857142857142857,0.5291666666666667,-0.309090909090909,-0.006060606060606056,0.34545454545454546
4,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.5821428571428572,0.075,0.016666666666666666,0.4545454545454545,0.5878787878787878,0.709090909090909
4,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.30714285714285716,-0.1714285714285714,0.18472222222222223,0.01818181818181818,0.4363636363636363,0.49090909090909085
5,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.6964285714285714,0.039285714285714285,0.006944444444444444,0.5757575757575757,0.7454545454545454,0.8060606060606059
5,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.12142857142857143,-0.16785714285714282,0.3680555555555556,-0.28484848484848485,0.10909090909090907,0.5030303030303029
6,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.34285714285714286,-0.25357142857142856,0.17222222222222222,0.19999999999999998,0.2727272727272727,0.6727272727272726
6,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.6928571428571428,0.2607142857142857,0.005555555555555556,0.6,0.7030303030303029,0.7818181818181817
7,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,-0.25357142857142856,-0.16785714285714282,0.7791666666666667,-0.406060606060606,-0.24242424242424238,-0.10303030303030303
7,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.5035714285714286,0.08214285714285713,0.04583333333333333,0.04242424242424241,0.5515151515151514,0.6848484848484848
8,validation,A,cross_visual_to_parietal,visual_streams,dorsal_parietal,0.5535714285714286,0.30357142857142855,0.030555555555555555,0.38181818181818183,0.5272727272727272,0.709090909090909
8,validation,B,cross_visual_to_parietal,visual_streams,dorsal_parietal,-0.11071428571428571,-0.5714285714285713,0.6513888888888889,-0.29696969696969694,-0.09696969696969696,0.11515151515151514
1,pilot,A,within_parietal,dorsal_parietal,dorsal_parietal,0.4714285714285714,0.19999999999999998,0.08333333333333333,0.309090909090909,0.4242424242424242,0.7333333333333332
1,pilot,B,within_parietal,dorsal_parietal,dorsal_parietal,0.5464285714285714,-0.125,0.027777777777777776,0.32121212121212117,0.4666666666666666,0.7696969696969697
2,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.19642857142857142,0.075,0.2722222222222222,-0.10303030303030303,0.24848484848484848,0.4787878787878787
2,validation,B,within_parietal,dorsal_parietal,dorsal_parietal,0.4392857142857143,0.25,0.07083333333333333,0.22424242424242422,0.3878787878787878,0.6484848484848483
3,validation,A,within_parietal,dorsal_parietal,dorsal_parietal,0.4607142857142857,0.36785714285714277,0.058333333333333334,0.28484848484848485,0.44848484848484843,0.709090909090909
