sample,stimulus_set,contrast,metric,n_subjects,mean,median,p_greater,p_two_sided
all_subjects,A,cross_minus_same_visual,standard_difference,8,-0.05446428571428569,0.050000000000000044,0.71875,0.5703125
all_subjects,A,cross_minus_within_parietal,standard_difference,8,-0.0035714285714285553,0.0678571428571429,0.52734375,0.96875
all_subjects,A,within_parietal_minus_same_visual,standard_difference,8,-0.050892857142857136,-0.10357142857142854,0.71484375,0.578125
all_subjects,B,cross_minus_same_visual,standard_difference,8,-0.1044642857142857,-0.06785714285714284,0.921875,0.171875
all_subjects,B,cross_minus_within_parietal,standard_difference,8,0.0830357142857143,0.03214285714285711,0.0859375,0.171875
all_subjects,B,within_parietal_minus_same_visual,standard_difference,8,-0.18749999999999997,-0.09464285714285714,0.9453125,0.125
all_subjects,A+B average,cross_minus_same_visual,standard_difference,8,-0.0794642857142857,-0.05178571428571427,0.92578125,0.171875
all_subjects,A+B average,cross_minus_within_parietal,standard_difference,8,0.03973214285714287,0.03035714285714288,0.265625,0.53125
all_subjects,A+B average,within_parietal_minus_same_visual,standard_difference,8,-0.11919642857142855,-0.06160714285714285,0.91015625,0.1875
subjects_02_08,A,cross_minus_same_visual,standard_difference,7,-0.0811224489795918,0.010714285714285787,0.7734375,0.46875
subjects_02_08,A,cross_minus_within_parietal,standard_difference,7,0.041326530612244915,0.07142857142857145,0.28125,0.5625
subjects_02_08,A,within_parietal_minus_same_visual,standard_difference,7,-0.12244897959183675,-0.15357142857142853,0.9453125,0.125
subjects_02_08,B,cross_minus_same_visual,standard_difference,7,-0.11224489795918366,-0.08571428571428574,0.90625,0.21875
subjects_02_08,B,cross_minus_within_parietal,standard_difference,7,0.0933673469387755,0.04999999999999993,0.109375,0.21875
subjects_02_08,B,within_parietal_minus_same_visual,standard_difference,7,-0.20561224489795915,-0.12857142857142856,0.9375,0.15625
subjects_02_08,A+B average,cross_minus_same_visual,standard_difference,7,-0.09668367346938773,-0.125,0.9453125,0.140625
subjects_02_08,A+B average,cross_minus_within_parietal,standard_difference,7,0.0673469387755102,0.060714285714285735,0.15625,0.3125
subjects_02_08,A+B average,within_parietal_minus_same_visual,standard_difference,7,-0.16403061224489796,-0.06785714285714285,0.9453125,0.125
all_subjects,A,cross_minus_same_visual,crossvalidated_difference,8,0.08526785714285713,0.06249999999999999,0.12890625,0.2578125
all_subjects,A,cross_minus_within_parietal,crossvalidated_difference,8,0.032142857142857154,0.007142857142857173,0.3984375,0.796875
all_subjects,A,within_parietal_minus_same_visual,crossvalidated_difference,8,0.053124999999999964,0.03749999999999995,0.3046875,0.609375
all_subjects,B,cross_minus_same_visual,crossvalidated_difference,8,-0.05223214285714284,-0.09999999999999996,0.7109375,0.59375
all_subjects,B,cross_minus_within_parietal,crossvalidated_difference,8,-0.03482142857142858,-0.09107142857142855,0.6171875,0.7734375
all_subjects,B,within_parietal_minus_same_visual,crossvalidated_difference,8,-0.017410714285714276,-0.01607142857142857,0.5703125,0.8671875
all_subjects,A+B average,cross_minus_same_visual,crossvalidated_difference,8,0.01651785714285714,-0.010714285714285694,0.39453125,0.7890625
all_subjects,A+B average,cross_minus_within_parietal,crossvalidated_difference,8,-0.001339285714285713,-0.058928571428571414,0.5078125,0.9921875
all_subjects,A+B average,within_parietal_minus_same_visual,crossvalidated_difference,8,0.01785714285714285,-0.03214285714285715,0.4453125,0.890625
subjects_02_08,A,cross_minus_same_visual,crossvalidated_difference,7,0.0943877551020408,0.10357142857142856,0.1328125,0.265625
subjects_02_08,A,cross_minus_within_parietal,crossvalidated_difference,7,0.07040816326530613,0.021428571428571463,0.296875,0.59375
subjects_02_08,A,within_parietal_minus_same_visual,crossvalidated_difference,7,0.02397959183673466,-0.017857142857142905,0.453125,0.90625
subjects_02_08,B,cross_minus_same_visual,crossvalidated_difference,7,-0.04693877551020408,-0.11071428571428565,0.6640625,0.6875
subjects_02_08,B,cross_minus_within_parietal,crossvalidated_difference,7,-0.018367346938775515,-0.03214285714285714,0.5703125,0.875
subjects_02_08,B,within_parietal_minus_same_visual,crossvalidated_difference,7,-0.028571428571428564,-0.024999999999999967,0.59375,0.828125
subjects_02_08,A+B average,cross_minus_same_visual,crossvalidated_difference,7,0.023724489795918364,0.012500000000000039,0.375,0.75
subjects_02_08,A+B average,cross_minus_within_parietal,crossvalidated_difference,7,0.026020408163265302,-0.005357142857142838,0.390625,0.78125
subjects_02_08,A+B average,within_parietal_minus_same_visual,crossvalidated_difference,7,-0.0022959183673469464,-0.04821428571428571,0.515625,1.0
