subject,phase,stimulus_set,task,roi,rdm_reliability,reliability_method
1,pilot,A,vision,early,0.2642857142857143,balanced random repeat halves
1,pilot,A,imagery,early,0.007142857142857141,independent imagery runs
1,pilot,B,vision,early,0.035714285714285705,balanced random repeat halves
1,pilot,B,imagery,early,-0.3321428571428571,independent imagery runs
1,pilot,A,vision,ventral,0.02321428571428571,balanced random repeat halves
1,pilot,A,imagery,ventral,0.19999999999999998,independent imagery runs
1,pilot,B,vision,ventral,0.18214285714285713,balanced random repeat halves
1,pilot,B,imagery,ventral,-0.16785714285714282,independent imagery runs
1,pilot,A,vision,lateral,0.06964285714285713,balanced random repeat halves
1,pilot,A,imagery,lateral,-0.007142857142857141,independent imagery runs
1,pilot,B,vision,lateral,0.16249999999999998,balanced random repeat halves
1,pilot,B,imagery,lateral,0.021428571428571425,independent imagery runs
1,pilot,A,vision,midparietal,0.11249999999999999,balanced random repeat halves
1,pilot,A,imagery,midparietal,0.028571428571428564,independent imagery runs
1,pilot,B,vision,midparietal,0.41428571428571426,balanced random repeat halves
1,pilot,B,imagery,midparietal,-0.33571428571428563,independent imagery runs
1,pilot,A,vision,parietal,0.1089285714285714,balanced random repeat halves
1,pilot,A,imagery,parietal,-0.010714285714285713,independent imagery runs
1,pilot,B,vision,parietal,0.3392857142857142,balanced random repeat halves
1,pilot,B,imagery,parietal,-0.37857142857142856,independent imagery runs
1,pilot,A,vision,visual_streams,0.04642857142857142,balanced random repeat halves
1,pilot,A,imagery,visual_streams,0.014285714285714282,independent imagery runs
1,pilot,B,vision,visual_streams,0.09642857142857142,balanced random repeat halves
1,pilot,B,imagery,visual_streams,-0.08928571428571427,independent imagery runs
1,pilot,A,vision,dorsal_parietal,0.03749999999999999,balanced random repeat halves
1,pilot,A,imagery,dorsal_parietal,-0.12857142857142856,independent imagery runs
1,pilot,B,vision,dorsal_parietal,0.3482142857142857,balanced random repeat halves
1,pilot,B,imagery,dorsal_parietal,-0.5714285714285713,independent imagery runs
2,validation,A,vision,early,0.557142857142857,balanced random repeat halves
2,validation,A,imagery,early,0.16428571428571426,independent imagery runs
2,validation,B,vision,early,0.2946428571428571,balanced random repeat halves
2,validation,B,imagery,early,-0.28928571428571426,independent imagery runs
2,validation,A,vision,ventral,0.014285714285714282,balanced random repeat halves
2,validation,A,imagery,ventral,0.39999999999999997,independent imagery runs
2,validation,B,vision,ventral,0.18035714285714283,balanced random repeat halves
2,validation,B,imagery,ventral,0.13928571428571426,independent imagery runs
2,validation,A,vision,lateral,0.028571428571428564,balanced random repeat halves
2,validation,A,imagery,lateral,0.41785714285714276,independent imagery runs
2,validation,B,vision,lateral,0.17321428571428568,balanced random repeat halves
2,validation,B,imagery,lateral,-0.08214285714285713,independent imagery runs
2,validation,A,vision,midparietal,0.1696428571428571,balanced random repeat halves
2,validation,A,imagery,midparietal,-0.11785714285714284,independent imagery runs
2,validation,B,vision,midparietal,0.2089285714285714,balanced random repeat halves
2,validation,B,imagery,midparietal,-0.37499999999999994,independent imagery runs
2,validation,A,vision,parietal,-0.05714285714285713,balanced random repeat halves
2,validation,A,imagery,parietal,0.007142857142857141,independent imagery runs
2,validation,B,vision,parietal,-0.0982142857142857,balanced random repeat halves
2,validation,B,imagery,parietal,0.4678571428571427,independent imagery runs
2,validation,A,vision,visual_streams,0.22857142857142854,balanced random repeat halves
2,validation,A,imagery,visual_streams,0.3571428571428571,independent imagery runs
2,validation,B,vision,visual_streams,0.010714285714285711,balanced random repeat halves
2,validation,B,imagery,visual_streams,-0.10714285714285714,independent imagery runs
2,validation,A,vision,dorsal_parietal,0.030357142857142853,balanced random repeat halves
